ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol,absLFC
ENSG00000146950.13,1083.141257,1.687735391,0.194613208,8.52E-19,2.90E-17,SHROOM2,1.687735391
ENSG00000214289.2,4.585739716,-1.687731878,0.347537193,1.72E-07,1.19E-06,RPL39P5,1.687731878
ENSG00000196507.11,2776.372625,1.687658915,0.244964192,1.08E-12,1.69E-11,TCEAL3,1.687658915
ENSG00000257341.5,2.362601262,-1.687355973,0.785128263,0.003941886,0.011037281,AL928654.3,1.687355973
ENSG00000227744.4,2.991788398,-1.687018294,0.4254725,1.38E-05,6.74E-05,LINC01940,1.687018294
ENSG00000171724.3,99.70795568,-1.686845143,0.352767926,2.86E-07,1.91E-06,VAT1L,1.686845143
ENSG00000267784.1,1.978980579,-1.686611958,0.759349228,0.003482513,0.009909246,AC010680.1,1.686611958
ENSG00000215333.3,2.062250693,1.686542532,0.451190879,3.39E-05,0.000153558,KRT18P23,1.686542532
ENSG00000235713.1,7.013257816,1.686299369,0.543541055,0.000289917,0.00107424,AC004522.2,1.686299369
ENSG00000158428.4,14.97349197,1.686086609,0.474046039,5.64E-05,0.000244448,CATIP,1.686086609
ENSG00000105695.15,47.56589931,1.685617397,0.563960573,0.000399826,0.001435193,MAG,1.685617397
ENSG00000281327.2,4.616694787,1.685363778,0.362867929,5.16E-07,3.30E-06,LINC01338,1.685363778
ENSG00000255858.3,1.361907932,-1.685355806,0.585467997,0.000555601,0.001932039,AC055720.1,1.685355806
ENSG00000186638.16,409.0253762,1.685207665,0.150326026,6.13E-30,7.04E-28,KIF24,1.685207665
ENSG00000169085.13,8.551462306,1.68518181,0.446155231,2.69E-05,0.00012426,VXN,1.68518181
ENSG00000241709.3,0.582103092,1.684931472,0.970989958,0.018507309,0.042279666,RN7SL265P,1.684931472
ENSG00000256940.2,4.635670551,1.684323616,0.400159325,4.14E-06,2.25E-05,PPP1R14B-AS1,1.684323616
ENSG00000233966.1,11.15933996,1.683525774,0.297838412,2.77E-09,2.59E-08,UBE2SP1,1.683525774
ENSG00000225614.4,1326.422456,1.68336144,0.240917515,5.28E-13,8.61E-12,ZNF469,1.68336144
ENSG00000255203.1,2.22869207,-1.683074856,0.541713471,0.000315891,0.001161746,OR7E2P,1.683074856
ENSG00000108984.15,1987.661752,-1.682674909,0.263524963,2.77E-11,3.54E-10,MAP2K6,1.682674909
ENSG00000126562.17,1014.458037,1.682579115,0.399894516,4.20E-06,2.28E-05,WNK4,1.682579115
ENSG00000237061.1,10.21048261,-1.682096334,0.456622656,3.50E-05,0.000158139,AC100823.1,1.682096334
ENSG00000185681.13,7.82643922,1.682031069,0.407336895,0.011313594,0.027660147,MORN5,1.682031069
ENSG00000273786.1,1.379783701,1.682015064,0.536432524,0.000284221,0.001055325,AC020658.4,1.682015064
ENSG00000288018.1,13.44920107,-1.68196626,0.28108132,4.11E-10,4.37E-09,AP003120.1,1.68196626
ENSG00000168461.13,8889.555215,1.681891518,0.244998453,1.19E-12,1.85E-11,RAB31,1.681891518
ENSG00000126231.15,10.00485131,1.681841121,0.339809817,1.33E-07,9.37E-07,PROZ,1.681841121
ENSG00000279428.1,0.992398072,-1.681470749,0.667423381,0.002415006,0.007170836,AC087164.2,1.681470749
ENSG00000103316.12,188.972604,1.681359809,0.496703413,0.000107024,0.000437403,CRYM,1.681359809
ENSG00000091436.17,9403.23692,-1.681352982,0.265842431,3.75E-11,4.68E-10,MAP3K20,1.681352982
ENSG00000270857.1,0.462930029,-1.681205048,0.897141333,0.022472741,0.049917933,AC007621.3,1.681205048
ENSG00000286682.1,9.095847766,1.68058812,0.299795482,4.10E-09,3.72E-08,AC025262.3,1.68058812
ENSG00000182010.11,329.010021,1.680473276,0.229193644,4.29E-14,8.06E-13,RTKN2,1.680473276
ENSG00000236276.2,2.727055279,1.680303557,0.804368614,0.004208083,0.011686837,NDP-AS1,1.680303557
ENSG00000226145.7,13.00305692,-1.68005687,0.395263886,2.73E-06,1.53E-05,KRT16P6,1.68005687
ENSG00000154611.15,3.348586965,-1.679735917,0.45893778,3.92E-05,0.00017527,PSMA8,1.679735917
ENSG00000240063.1,1.959627012,-1.679371932,0.711191983,0.0019547,0.005937863,AC069431.1,1.679371932
ENSG00000101213.7,754.5057308,1.678832016,0.302307885,4.90E-09,4.38E-08,PTK6,1.678832016
ENSG00000184254.17,1290.722201,-1.678706263,0.267605021,6.14E-11,7.43E-10,ALDH1A3,1.678706263
ENSG00000261451.1,7.198419329,-1.678138296,0.332214225,8.21E-08,6.02E-07,AC104964.2,1.678138296
ENSG00000179639.10,216.2654564,-1.677689446,0.296336844,2.57E-09,2.41E-08,FCER1A,1.677689446
ENSG00000274180.1,2203.653747,-1.677298332,0.224139345,1.29E-14,2.59E-13,NATD1,1.677298332
ENSG00000258851.1,5.379896659,-1.677173126,0.298089236,4.03E-09,3.66E-08,AL139300.2,1.677173126
ENSG00000260737.6,1.276687111,1.677124485,0.500977148,0.000154956,0.000610561,LINC01227,1.677124485
ENSG00000231550.1,5.802707865,1.677014866,0.434974746,0.005790153,0.015440933,PTCHD3P2,1.677014866
ENSG00000286373.1,29.5524239,-1.676837677,0.247288456,1.83E-12,2.77E-11,AC022387.2,1.676837677
ENSG00000169991.11,3326.328741,-1.676794707,0.229165683,4.49E-14,8.40E-13,IFFO2,1.676794707
