ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,absLFC,ENSG_base
ENSG00000115844.11,61.09477585,1.082574363,0.564325121,0.015257689,0.03577979,DLX2,1.082574363,ENSG00000115844
ENSG00000232474.1,0.907603814,1.251323652,0.702145943,0.015278045,0.035823249,NCKAP5-IT1,1.251323652,ENSG00000232474
ENSG00000180210.15,1.043444738,1.181470638,0.615497652,0.015286343,0.035838427,F2,1.181470638,ENSG00000180210
ENSG00000163394.6,3.148031219,1.079429293,0.558838603,0.015425811,0.036124445,CCKAR,1.079429293,ENSG00000163394
ENSG00000054356.14,56.22310786,1.038967906,0.531691495,0.015435124,0.036141944,PTPRN,1.038967906,ENSG00000054356
ENSG00000275467.1,0.647268077,1.608444074,0.883004712,0.01549686,0.036267046,AC083806.3,1.608444074,ENSG00000275467
ENSG00000286109.1,0.501556579,2.503909051,1.211888426,0.015646034,0.036557354,AL357972.1,2.503909051,ENSG00000286109
ENSG00000207611.1,0.788952471,3.60189249,1.031152819,0.015649869,0.036564141,MIR149,3.60189249,ENSG00000207611
ENSG00000286850.1,1.060612346,1.296891606,0.768806917,0.015718883,0.0367101,AL358232.2,1.296891606,ENSG00000286850
ENSG00000259126.1,5.752287969,1.224987446,0.68976669,0.015768645,0.036815372,AL161752.1,1.224987446,ENSG00000259126
ENSG00000139648.7,2.721669934,1.090922267,0.57373471,0.015912666,0.037100907,KRT71,1.090922267,ENSG00000139648
ENSG00000286939.1,1.164970743,1.172068371,0.622503296,0.016075706,0.037447701,U82671.1,1.172068371,ENSG00000286939
ENSG00000259485.2,0.91086293,1.350171629,0.824858885,0.016101144,0.037493619,LINC02253,1.350171629,ENSG00000259485
ENSG00000277720.1,0.592539459,1.431681672,0.796072205,0.01632088,0.037949064,H3C5P,1.431681672,ENSG00000277720
ENSG00000286417.1,3.606610603,1.225286758,0.708138205,0.016359772,0.038012804,AL133334.1,1.225286758,ENSG00000286417
ENSG00000275675.1,1.70860644,1.200987609,0.682711679,0.016371788,0.038033667,AL161931.1,1.200987609,ENSG00000275675
ENSG00000198033.12,1.120247434,1.518728068,0.958806411,0.016426571,0.038140636,TUBA3C,1.518728068,ENSG00000198033
ENSG00000258870.1,1.636226306,1.092464944,0.596512028,0.016439863,0.038165171,EIF4EBP1P1,1.092464944,ENSG00000258870
ENSG00000248103.1,2.585076163,1.073985909,0.567356638,0.016530656,0.03835284,AC008443.2,1.073985909,ENSG00000248103
ENSG00000213673.3,1.752979382,2.132625663,0.541066888,0.016540371,0.038366317,SLC25A5P3,2.132625663,ENSG00000213673
ENSG00000241635.8,0.540193217,3.970284601,0.762590393,0.016589925,0.038458551,UGT1A1,3.970284601,ENSG00000241635
ENSG00000264061.1,2.448054643,2.633001073,0.797242926,0.016598333,0.038475773,FGF7P1,2.633001073,ENSG00000264061
ENSG00000228196.1,0.886037734,1.052588722,0.555901567,0.016769742,0.038804414,PTPN2P1,1.052588722,ENSG00000228196
ENSG00000261347.1,1.891951085,1.404792548,0.928194874,0.016867478,0.039000707,AP000439.3,1.404792548,ENSG00000261347
ENSG00000258752.2,6.443076496,1.984581566,0.542774058,0.016916474,0.039099996,AL357093.2,1.984581566,ENSG00000258752
ENSG00000226398.1,1.760572825,1.332661924,0.817066914,0.016955377,0.039183188,AC013480.1,1.332661924,ENSG00000226398
ENSG00000232946.1,1.504691638,1.102672399,0.599638453,0.017110477,0.039499794,RPL35AP20,1.102672399,ENSG00000232946
ENSG00000254239.1,0.905004771,2.161820027,1.417967609,0.017169303,0.039621625,AC002428.2,2.161820027,ENSG00000254239
