ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005876,spindle microtubule,15/613,83/19944,0.18072289156626506,5.8798325438786145,7.933078120286613,3.066506827287871e-8,6.454266750767805e-7,5.502804231423849e-7,KIF4A/PLK1/CDK1/KIF18B/AURKB/SKA3/AURKA/SKA1/BIRC5/KIF11/CENPE/PRC1/TUBG1/CLTC/KNTC1,15
GO:0005788,endoplasmic reticulum lumen,29/613,319/19944,0.09090909090909091,2.957733946314697,6.276860859670901,2.1157327256878645e-7,4.250699385245619e-6,3.6240780660107925e-6,COL10A1/COL11A1/COL20A1/MSLN/FN1/SPP1/MATN3/IL12B/P4HA3/COL1A1/COL22A1/COL5A1/COL5A2/COL1A2/COL8A1/TMEM132A/PLAUR/COL3A1/COL12A1/SERPINH1/VCAN/ARSI/COL6A3/CKAP4/FKBP10/PDIA4/ADAMTS7/COL8A2/TOR3A,29
GO:0000792,heterochromatin,14/613,85/19944,0.16470588235294117,5.358717973323098,7.171134461114629,2.947107928031036e-7,5.6635726269118164e-06,4.828671113204169e-6,UHRF1/EME1/CENPA/SALL4/CBX2/ESCO2/EZH2/CDKN2A/H1-5/HELLS/HMGA1/WDR76/LRWD1/DNMT1,14
GO:0005583,fibrillar collagen trimer,6/613,11/19944,0.5454545454545454,17.74640367788818,9.89304276655552,3.333048587330591e-7,5.892829902400485e-6,5.024132186376218e-6,COL11A1/COL1A1/COL5A1/COL5A2/COL1A2/COL3A1,6
GO:0098643,fibrillar collagen,6/613,11/19944,0.5454545454545454,17.74640367788818,9.89304276655552,3.333048587330591e-7,5.892829902400485e-6,5.024132186376218e-6,COL11A1/COL1A1/COL5A1/COL5A2/COL1A2/COL3A1,6
GO:0030496,midbody,22/613,211/19944,0.10426540284360189,3.3922825355836803,6.220932097535058,6.30501772502267e-7,1.071853013253854e-5,9.138446743150268e-6,KIF4A/NEK2/ANLN/ASPM/KIF20A/CEP55/PLK1/KIF14/CENPF/SPAG5/SHCBP1/CDK1/AURKB/AURKA/CDCA8/KIF23/BIRC5/CENPE/PRC1/RACGAP1/BCL3/RCC2,22
GO:0045171,intercellular bridge,14/613,98/19944,0.14285714285714285,4.647867629923095,6.446350816243075,1.75332831882331e-6,2.8702633959996408e-5,2.4471404995662576e-5,CDC6/NEK2/TUBB3/KIF20A/CEP55/TPX2/FAM83D/CDCA8/SKA1/JPT1/CENPE/PRC1/PYCR3/CDC7,14
GO:0000781,"chromosome, telomeric region",19/613,177/19944,0.10734463276836158,3.492465507230348,5.931215865980386,2.3577406350680955e-6,3.721862002500351e-5,3.173199802084129e-5,CDK1/RAD51/RECQL4/H4C14/ORC1/EZH2/RAD51AP1/BLM/H4C9/CHEK1/H2BC3/H2AX/MCM2/FEN1/PIF1/BRCA2/PARP1/LRWD1/MCM6,19
GO:0005871,kinesin complex,9/613,48/19944,0.1875,6.100326264274062,6.299905174183708,1.3260728651340169e-5,2.0211179530663293e-4,1.72317272492914e-4,KIF20A/KIF14/KIF2C/KIF18B/KIFC1/KIF15/KIF23/KIF11/KIFC2,9
GO:0000939,inner kinetochore,6/613,19/19944,0.3157894736842105,10.274233708251051,7.202014521659784,1.5857330702076628e-5,2.2609484420380225e-4,1.9276483502015054e-4,CENPM/CENPI/CENPU/CENPK/CENPL/CENPO,6
GO:0034506,"chromosome, centromeric core domain",6/613,19/19944,0.3157894736842105,10.274233708251051,7.202014521659784,1.5857330702076628e-5,2.2609484420380225e-4,1.9276483502015054e-4,CENPA/H4C14/H2AC4/H4C9/H2BC11/RCC2,6
GO:0031261,DNA replication preinitiation complex,5/613,13/19944,0.38461538461538464,12.513489772869871,7.394561624177201,2.829652093768907e-5,3.908456954518303e-4,3.3322876630568056e-4,SLC5A8/CDC45/GINS1/MCM2/MCM6,5
GO:1990023,mitotic spindle midzone,5/613,14/19944,0.35714285714285715,11.619669074807737,7.0781485604897,4.290471669552025e-5,5.746631751339378e-4,4.899485989472488e-4,KIF18B/AURKB/CENPE/PRC1/RCC2,5
GO:0000307,cyclin-dependent protein kinase holoenzyme complex,10/613,69/19944,0.14492753623188406,4.715228030356763,5.504967671524969,4.643351358184711e-5,6.036356765640124e-4,5.146500886161383e-4,CDK1/CCNE2/CCNE1/CCNB2/CCNA2/CKS2/CCNB1/CCNF/CDK5/CDK5R1,10
GO:0000800,lateral element,5/613,15/19944,0.3333333333333333,10.845024469820554,6.792317796656346,6.273228226531147e-5,7.922191074647906e-4,6.754332947663612e-4,RAD51/BLM/SYCP2/BRCA1/BRCA2,5
GO:0000152,nuclear ubiquitin ligase complex,8/613,47/19944,0.1702127659574468,5.537884835653049,5.546345509454988,8.301295577730909e-5,0.001019214623710295,8.689660283121831e-4,UBE2C/CDC20/RAD51/BUB1B/CBX2/UBE2S/BRCA1/BRCA2,8
GO:0009897,external side of plasma membrane,27/613,393/19944,0.06870229007633588,2.2352340510317177,4.404122232459201,9.177894330245587e-5,0.0010963862956671754,9.347613571060939e-4,CXCL10/CXCL9/CCR8/ULBP1/IL21R/TFR2/IL9R/CD80/TNFRSF9/LAG3/ULBP2/PLAU/PLAUR/FCGR3A/FCGR1A/SDC1/CD24/CXCR3/SLC7A5/THY1/SEMA7A/GPC4/MICB/PDCD1/TNFRSF4/TFRC/CD276,27
GO:0005875,microtubule associated complex,15/613,157/19944,0.09554140127388536,3.108446504088694,4.723030577657382,1.0359448167718113e-4,0.0012049673921398437,0.0010273358570756469,KIF4A/KIF20A/KIF14/KIF2C/KIF18B/AURKB/AURKA/CDCA8/KIFC1/KIF15/KIF23/BIRC5/KIF11/KIFC2/LRP8,15
GO:0043505,CENP-A containing nucleosome,5/613,18/19944,0.2777777777777778,9.037520391517129,6.075004427526566,1.6578681025620402e-4,0.0018319442533310545,0.0015618862650452906,CENPA/H4C14/H2AC4/H4C9/H2BC11,5
GO:0061638,CENP-A containing chromatin,5/613,18/19944,0.2777777777777778,9.037520391517129,6.075004427526566,1.6578681025620402e-4,0.0018319442533310545,0.0015618862650452906,CENPA/H4C14/H2AC4/H4C9/H2BC11,5
GO:0000795,synaptonemal complex,7/613,41/19944,0.17073170731707318,5.554768630883699,5.198730439148342,2.267815913967406e-4,0.0023866062713656985,0.002034782198497071,PLK1/RAD51/BLM/P3H4/SYCP2/BRCA1/BRCA2,7
GO:0099086,synaptonemal structure,7/613,41/19944,0.17073170731707318,5.554768630883699,5.198730439148342,2.267815913967406e-4,0.0023866062713656985,0.002034782198497071,PLK1/RAD51/BLM/P3H4/SYCP2/BRCA1/BRCA2,7
GO:0071162,CMG complex,4/613,11/19944,0.36363636363636365,11.830935785258788,6.398443091806212,2.4547559721714666e-4,0.0025232607899995075,0.002151291647582338,CDC45/GINS1/MCM2/MCM6,4
GO:0005721,pericentric heterochromatin,6/613,30/19944,0.2,6.507014681892333,5.375216135491722,2.601939061250044e-4,0.0026029375527669217,0.002219222776590993,CENPA/ESCO2/EZH2/HELLS/LRWD1/DNMT1,6
GO:0043596,nuclear replication fork,7/613,42/19944,0.16666666666666666,5.422512234910277,5.109091125201271,2.6500495446722054e-4,0.0026029375527669217,0.002219222776590993,EME1/MCM10/TONSL/TIMELESS/WDHD1/PARP1/POLD4,7
GO:0010369,chromocenter,4/613,14/19944,0.2857142857142857,9.29573525984619,5.5292162283076625,6.91777264816931e-4,0.006645997412973515,0.00566627071646706,AURKB/CDCA8/ESCO2/OIP5,4
GO:0005814,centriole,14/613,168/19944,0.08333333333333333,2.7112561174551386,3.9664204568324983,7.067010823750118e-4,0.006645997412973515,0.00566627071646706,TOP2A/CEP55/PLK1/CCDC78/TEDC2/AURKA/BIRC5/POC1A/STIL/CCNF/PLK4/KIF24/TUBG1/ODF2,14
GO:0097431,mitotic spindle pole,6/613,39/19944,0.15384615384615385,5.005395909147948,4.458563783280806,0.0011311479033518574,0.01041598694336502,0.008880503276315021,ASPM/PLK1/SPAG5/FAM83D/AURKB/AURKA,6
GO:0001741,XY body,4/613,16/19944,0.25,8.133768352365417,5.0832966903798384,0.0011977128595581348,0.010803858855606033,0.009211196642788666,ESCO2/H2AX/PLK4/BRCA1,4
GO:0045120,pronucleus,4/613,17/19944,0.23529411764705882,7.655311390461568,4.888439018968275,0.0015284463658097247,0.013511465873757966,0.01151965892547119,CENPF/AURKA/CCNA2/EZH2,4
GO:1902554,serine/threonine protein kinase complex,12/613,145/19944,0.08275862068965517,2.6925577994037235,3.642538939488062,0.001760803715736348,0.015260298869715016,0.013010685866534834,CDK1/CCNE2/CCNE1/CCNB2/CCNA2/CKS2/CCNB1/CCNF/PYCARD/CDK5/DBF4/CDK5R1,12
GO:0005796,Golgi lumen,10/613,109/19944,0.09174311926605505,2.984869120134098,3.70021827054109,0.0019483884722971813,0.01656130201452604,0.014119900264825727,MMP11/BGN/ACAN/MUC1/SDC1/GPC2/MMP14/VCAN/GPC4/ABCC5,10
GO:0005614,interstitial matrix,4/613,19/19944,0.21052631578947367,6.849489138834035,4.542489120658409,0.0023706962312477283,0.01977071196625464,0.016856191674015628,COL10A1/COL8A1/COL12A1/COL8A2,4
GO:0072534,perineuronal net,3/613,10/19944,0.3,9.760522022838499,4.934362826301715,0.0029500736881323928,0.02370786491190032,0.020212945078495633,HAPLN1/ACAN/VCAN,3
GO:0097136,Bcl-2 family protein complex,3/613,10/19944,0.3,9.760522022838499,4.934362826301715,0.0029500736881323928,0.02370786491190032,0.020212945078495633,PMAIP1/BAX/BAK1,3
GO:0090734,site of DNA damage,11/613,135/19944,0.08148148148148149,2.6510059815116915,3.4275403522351557,0.003040452365195486,0.02399785616815009,0.020460186968796697,AUNIP/RAD51/POLQ/ESCO2/AIM2/H2AX/TONSL/HELLS/TIMELESS/WDR76/PARP1,11
GO:0035861,site of double-strand break,9/613,100/19944,0.09,2.92815660685155,3.4421200824181253,0.0036686943042713513,0.02844847162259539,0.024254710266466185,RAD51/POLQ/ESCO2/AIM2/H2AX/TONSL/HELLS/TIMELESS/PARP1,9
GO:1902911,protein kinase complex,12/613,159/19944,0.07547169811320754,2.455477238449937,3.281211873424288,0.003776701441582196,0.028781069606540182,0.02453827796890066,CDK1/CCNE2/CCNE1/CCNB2/CCNA2/CKS2/CCNB1/CCNF/PYCARD/CDK5/DBF4/CDK5R1,12
GO:0042555,MCM complex,3/613,11/19944,0.2727272727272727,8.87320183894409,4.651143254431558,0.003964297972225615,0.029203661728728698,0.024898573229066145,MCM2/TONSL/MCM6,3
GO:0098966,perisynaptic extracellular matrix,3/613,11/19944,0.2727272727272727,8.87320183894409,4.651143254431558,0.003964297972225615,0.029203661728728698,0.024898573229066145,HAPLN1/ACAN/VCAN,3
GO:0005680,anaphase-promoting complex,4/613,22/19944,0.18181818181818182,5.915467892629394,4.1077883386377,0.0041593303283280585,0.030138098444606586,0.02569525897396799,UBE2C/CDC20/BUB1B/UBE2S,4
GO:1990391,DNA repair complex,4/613,23/19944,0.17391304347826086,5.658273636428115,3.9804453722872273,0.004914286998533654,0.03503411053793347,0.029869520296690124,FANCI/BRCA1/BRCA2/FANCD2,4
GO:0099535,synapse-associated extracellular matrix,3/613,12/19944,0.25,8.133768352365417,4.401822318395266,0.005165970320463681,0.03624379177214202,0.030900875099849588,HAPLN1/ACAN/VCAN,3
GO:0043073,germ cell nucleus,7/613,72/19944,0.09722222222222222,3.163132137030995,3.274363043820117,0.0065635720987452665,0.045329669806959495,0.038647348870901405,TOP2A/AURKA/TRIP13/RAD51/H2AX/BRCA1/DNMT1,7
