symbol,subtype,mean_expr
ADORA2A,Normal-like,332.5785375
AEBP1,Basal-like,8966.320119587628
AEBP1,HER2-enriched,18701.11814310345
AEBP1,Luminal A,18318.561786580085
AEBP1,Luminal B,13137.783410236221
AEBP1,Normal-like,12623.0206
AIM2,Basal-like,89.01213402061856
AIM2,HER2-enriched,76.18149655172414
AIM2,Luminal A,20.561409523809523
AIM2,Luminal B,29.716725196850394
AIM2,Normal-like,50.6871
ANKRD22,Basal-like,292.594781443299
ANKRD22,HER2-enriched,336.88687586206896
ANKRD22,Luminal A,207.5907025974026
ANKRD22,Luminal B,232.17639212598425
ANKRD22,Normal-like,275.644625
ANLN,Basal-like,2110.8734402061855
ANLN,HER2-enriched,1403.8499
ANLN,Luminal A,495.3494147186147
ANLN,Luminal B,1130.8831393700787
ANLN,Normal-like,578.6573375
APOBEC3H,Basal-like,13.946244329896908
APOBEC3H,HER2-enriched,11.00351724137931
APOBEC3H,Luminal A,7.617705627705628
APOBEC3H,Luminal B,8.312425196850393
APOBEC3H,Normal-like,16.946550000000002
ARHGAP11A,Basal-like,836.6455041237114
ARHGAP11A,HER2-enriched,576.8605137931035
ARHGAP11A,Luminal A,291.81283593073596
ARHGAP11A,Luminal B,683.1699511811024
ARHGAP11A,Normal-like,368.5256375
ARSI,Basal-like,94.29448556701031
ARSI,HER2-enriched,107.74913620689655
ARSI,Luminal A,105.8583683982684
ARSI,Luminal B,64.32906692913386
ARSI,Normal-like,58.9108
ARTN,Basal-like,79.63030103092784
ARTN,HER2-enriched,41.83726551724138
ARTN,Luminal A,82.46976406926407
ARTN,Luminal B,74.73684330708662
ARTN,Normal-like,49.2546375
ASF1B,Basal-like,866.6427731958763
ASF1B,HER2-enriched,786.2271431034483
ASF1B,Luminal A,403.34067835497837
ASF1B,Luminal B,779.1492700787402
ASF1B,Normal-like,822.217025
ASPHD2,Basal-like,89.05032680412371
ASPHD2,HER2-enriched,101.16900689655172
ASPHD2,Luminal A,91.2295909090909
ASPHD2,Luminal B,104.8417874015748
ASPHD2,Normal-like,87.597725
ASPM,Basal-like,1499.3986134020618
ASPM,HER2-enriched,946.3656
ASPM,Luminal A,380.4732445887446
ASPM,Luminal B,968.0718700787402
ASPM,Normal-like,456.4471625
ASPN,Basal-like,926.6941041237113
ASPN,HER2-enriched,2083.279431034483
ASPN,Luminal A,3479.63386017316
ASPN,Luminal B,1599.930888976378
ASPN,Normal-like,1303.9014375
ATAD2,Basal-like,3014.9529804123713
ATAD2,HER2-enriched,2090.4773637931035
ATAD2,Luminal A,1286.8401220779222
ATAD2,Luminal B,2978.2593417322837
ATAD2,Normal-like,1692.771
ATP6AP1,Basal-like,4722.015315463917
ATP6AP1,HER2-enriched,6240.874677586207
ATP6AP1,Luminal A,6678.568876190476
ATP6AP1,Luminal B,7454.52090472441
ATP6AP1,Normal-like,6399.7183375
AURKA,Basal-like,921.5554886597938
AURKA,HER2-enriched,843.4665724137931
AURKA,Luminal A,302.9159225108225
AURKA,Luminal B,839.4858062992126
AURKA,Normal-like,695.4812999999999
AURKB,Basal-like,568.0716618556701
AURKB,HER2-enriched,311.76852931034483
AURKB,Luminal A,107.74393766233766
AURKB,Luminal B,284.3889724409449
AURKB,Normal-like,217.980525
B4GALNT4,Basal-like,505.11736288659796
B4GALNT4,HER2-enriched,355.9587482758621
B4GALNT4,Luminal A,499.51568225108224
B4GALNT4,Luminal B,552.8866062992126
B4GALNT4,Normal-like,358.883275
BAX,Basal-like,737.337156701031
BAX,HER2-enriched,597.6036
BAX,Luminal A,533.3226774891775
BAX,Luminal B,616.7881480314961
BAX,Normal-like,660.426975
BCL3,Basal-like,1133.8380154639176
BCL3,HER2-enriched,1281.188920689655
BCL3,Luminal A,1186.7928411255411
BCL3,Luminal B,1067.0908125984251
BCL3,Normal-like,1809.8283125
BCL9,Basal-like,1308.311369072165
BCL9,HER2-enriched,1245.6744827586206
BCL9,Luminal A,1611.3037874458873
BCL9,Luminal B,1418.9538992125983
BCL9,Normal-like,699.2810875
BGN,Basal-like,15537.561102061856
BGN,HER2-enriched,16309.692620689655
BGN,Luminal A,17654.34890735931
BGN,Luminal B,11692.310599212598
BGN,Normal-like,16957.2685125
BIRC5,Basal-like,985.55147216494845
BIRC5,HER2-enriched,590.9530965517241
BIRC5,Luminal A,230.19490476190475
BIRC5,Luminal B,715.360579527559
BIRC5,Normal-like,677.119625
BLM,Basal-like,432.89563402061856
BLM,HER2-enriched,256.36844655172416
BLM,Luminal A,121.14431385281385
BLM,Luminal B,270.1006433070866
BLM,Normal-like,232.0493625
BMP8A,Basal-like,227.5079793814433
BMP8A,HER2-enriched,361.79556551724136
BMP8A,Luminal A,317.8042
BMP8A,Luminal B,344.80792047244097
BMP8A,Normal-like,141.2317125
BMP8B,Basal-like,122.46638969072166
BMP8B,HER2-enriched,141.93171551724137
BMP8B,Luminal A,102.95967359307359
BMP8B,Luminal B,135.3166535433071
BMP8B,Normal-like,29.6685625
BOP1,Basal-like,772.1356515463917
BOP1,HER2-enriched,416.24467931034485
BOP1,Luminal A,281.57740735930736
BOP1,Luminal B,420.5210866141732
BOP1,Normal-like,412.188875
BRCA1,Basal-like,446.35266907216493
BRCA1,HER2-enriched,475.24919655172414
BRCA1,Luminal A,356.4616294372294
BRCA1,Luminal B,641.6488921259843
BRCA1,Normal-like,198.47295
BRCA2,Basal-like,317.7589835051546
BRCA2,HER2-enriched,270.3208655172414
BRCA2,Luminal A,136.95357619047618
BRCA2,Luminal B,249.62214015748032
BRCA2,Normal-like,137.9625625
BRIP1,Basal-like,245.41126701030927
BRIP1,HER2-enriched,199.24954482758622
BRIP1,Luminal A,117.08001991341992
BRIP1,Luminal B,254.19607716535432
BRIP1,Normal-like,49.857075
BST2,Basal-like,3011.388763917526
BST2,HER2-enriched,3966.6453931034484
BST2,Luminal A,3924.5467645021645
BST2,Luminal B,5058.207194488189
BST2,Normal-like,4650.9561875
BUB1,Basal-like,1257.9198855670104
BUB1,HER2-enriched,748.3193844827587
BUB1,Luminal A,300.3129909090909
BUB1,Luminal B,705.9558866141732
BUB1,Normal-like,344.4689
BUB1B,Basal-like,800.8520391752577
BUB1B,HER2-enriched,626.3932172413793
BUB1B,Luminal A,271.5888502164502
BUB1B,Luminal B,631.4881362204725
BUB1B,Normal-like,327.765025
C1QTNF6,Basal-like,579.1835329896908
C1QTNF6,HER2-enriched,914.1529034482759
C1QTNF6,Luminal A,1118.7372991341992
C1QTNF6,Luminal B,754.1072440944882
C1QTNF6,Normal-like,710.7163875
C21orf58,Basal-like,179.74404226804123
C21orf58,HER2-enriched,134.83602586206896
C21orf58,Luminal A,92.6367909090909
C21orf58,Luminal B,181.72565196850394
C21orf58,Normal-like,116.2670375
CACNA1E,Basal-like,11.44610206185567
CACNA1E,HER2-enriched,5.9427362068965515
CACNA1E,Luminal A,5.306690909090909
CACNA1E,Luminal B,3.8902244094488188
CACNA1E,Normal-like,4.6548125
CADPS,Basal-like,7.454441237113402
CADPS,HER2-enriched,5.956758620689655
CADPS,Luminal A,13.77078961038961
CADPS,Luminal B,10.063915748031496
CADPS,Normal-like,62.471875
CALCA,Basal-like,39.49232474226804
CALCA,HER2-enriched,0.7711741379310345
CALCA,Luminal A,0.4147021645021645
CALCA,Luminal B,0.7415464566929134
CALCA,Normal-like,0.7780875
CATSPER1,Basal-like,4.372052577319588
CATSPER1,HER2-enriched,3.9050344827586208
CATSPER1,Luminal A,4.139140692640693
CATSPER1,Luminal B,3.6370629921259843
CATSPER1,Normal-like,7.2754
CBLN2,Basal-like,27.893417525773195
CBLN2,HER2-enriched,94.30386379310345
CBLN2,Luminal A,583.1297523809524
CBLN2,Luminal B,395.94678818897637
CBLN2,Normal-like,190.3277
CBS,Basal-like,1097.5379515463917
CBS,HER2-enriched,387.19660862068963
CBS,Luminal A,207.33257705627705
CBS,Luminal B,423.58755826771653
CBS,Normal-like,390.396525
CBX2,Basal-like,1152.4302731958762
CBX2,HER2-enriched,1034.9385206896552
CBX2,Luminal A,216.10426796536797
CBX2,Luminal B,543.8631960629921
CBX2,Normal-like,449.72544999999997
CCDC78,Basal-like,36.56318041237113
CCDC78,HER2-enriched,120.08152758620689
CCDC78,Luminal A,117.57279004329004
CCDC78,Luminal B,147.79425433070867
CCDC78,Normal-like,257.036825
CCDC87,Basal-like,19.21832268041237
CCDC87,HER2-enriched,58.80430689655172
CCDC87,Luminal A,48.57477662337662
CCDC87,Luminal B,58.061179527559055
CCDC87,Normal-like,29.244037499999997
CCL11,Basal-like,29.819822680412372
CCL11,HER2-enriched,75.08057413793104
CCL11,Luminal A,26.654683982683984
CCL11,Luminal B,21.049990551181104
CCL11,Normal-like,48.512412499999996
CCNA2,Basal-like,1128.7787350515464
CCNA2,HER2-enriched,705.2396155172414
CCNA2,Luminal A,292.8822251082251
CCNA2,Luminal B,698.0144763779527
CCNA2,Normal-like,384.0821625
CCNB1,Basal-like,1605.4119907216495
CCNB1,HER2-enriched,1524.1907793103449
CCNB1,Luminal A,744.4416173160173
CCNB1,Luminal B,1517.6934692913385
CCNB1,Normal-like,949.0090625
CCNB2,Basal-like,1085.481656701031
CCNB2,HER2-enriched,701.8920413793104
CCNB2,Luminal A,279.91426190476193
CCNB2,Luminal B,642.9059897637795
CCNB2,Normal-like,573.5091875
CCNE1,Basal-like,499.25358041237115
CCNE1,HER2-enriched,154.8307051724138
CCNE1,Luminal A,67.2838051948052
CCNE1,Luminal B,96.73733937007874
CCNE1,Normal-like,64.53725
CCNE2,Basal-like,473.86034329896904
CCNE2,HER2-enriched,523.1635172413793
CCNE2,Luminal A,179.39991471861472
CCNE2,Luminal B,503.04481811023624
CCNE2,Normal-like,196.39339999999999
CCNF,Basal-like,817.6118948453608
CCNF,HER2-enriched,811.9899137931035
CCNF,Luminal A,525.378145021645
CCNF,Luminal B,842.3189173228346
CCNF,Normal-like,505.32435
CCR8,Basal-like,18.653738144329896
CCR8,HER2-enriched,32.35051724137931
CCR8,Luminal A,10.906858874458875
CCR8,Luminal B,17.433861417322834
CCR8,Normal-like,15.8168
CD24,Basal-like,41503.26079690722
CD24,HER2-enriched,64019.95505689655
CD24,Luminal A,23428.5891004329
CD24,Luminal B,31946.346266929133
CD24,Normal-like,14902.15965
CD80,Basal-like,45.71920824742268
CD80,HER2-enriched,42.73076034482759
CD80,Luminal A,23.264406926406927
CD80,Luminal B,33.45613700787401
CD80,Normal-like,26.769125
CDC20,Basal-like,2012.2895237113403
CDC20,HER2-enriched,986.3894310344828
CDC20,Luminal A,375.5661298701299
CDC20,Luminal B,804.6821173228346
CDC20,Normal-like,958.311775
CDC25A,Basal-like,419.4554567010309
CDC25A,HER2-enriched,220.06843448275862
CDC25A,Luminal A,91.93564848484849
CDC25A,Luminal B,208.5716409448819
CDC25A,Normal-like,120.30211249999999
CDC25C,Basal-like,166.29911649484535
CDC25C,HER2-enriched,152.75977931034484
CDC25C,Luminal A,77.28102683982684
CDC25C,Luminal B,184.21671811023623
CDC25C,Normal-like,123.4520125
CDC45,Basal-like,430.2038154639175
CDC45,HER2-enriched,330.1923396551724
CDC45,Luminal A,97.73943333333334
CDC45,Luminal B,260.73273779527557
CDC45,Normal-like,142.484225
CDC6,Basal-like,715.7806288659793
CDC6,HER2-enriched,1689.6173189655171
CDC6,Luminal A,370.71444155844154
CDC6,Luminal B,917.7484204724409
CDC6,Normal-like,409.22396249999997
CDC7,Basal-like,530.7554587628866
CDC7,HER2-enriched,265.7809655172414
CDC7,Luminal A,159.42088787878788
CDC7,Luminal B,297.99476377952755
CDC7,Normal-like,213.318925
CDCA2,Basal-like,600.2564412371134
CDCA2,HER2-enriched,215.41049137931034
CDCA2,Luminal A,98.30847316017316
CDCA2,Luminal B,200.0012496062992
CDCA2,Normal-like,136.4368875
CDCA3,Basal-like,602.3864845360824
CDCA3,HER2-enriched,319.88501379310344
CDCA3,Luminal A,147.66428398268397
CDCA3,Luminal B,318.182668503937
CDCA3,Normal-like,356.3429
CDCA5,Basal-like,1143.1331144329897
CDCA5,HER2-enriched,809.7832586206897
CDCA5,Luminal A,311.9335800865801
CDCA5,Luminal B,763.4404614173228
CDCA5,Normal-like,643.2288374999999
CDCA8,Basal-like,1212.9372051546393
CDCA8,HER2-enriched,597.3375034482758
CDCA8,Luminal A,267.20732857142855
CDCA8,Luminal B,572.7535976377952
CDCA8,Normal-like,510.20075
CDH11,Basal-like,1471.2606123711341
CDH11,HER2-enriched,2796.4433637931033
CDH11,Luminal A,3272.1948484848485
CDH11,Luminal B,2095.3664511811025
CDH11,Normal-like,2247.6825375
CDK1,Basal-like,1654.9703835051546
CDK1,HER2-enriched,1646.1285482758622
CDK1,Luminal A,607.4856748917749
CDK1,Luminal B,1366.0259433070867
CDK1,Normal-like,949.55355
CDK5,Basal-like,394.58006597938146
CDK5,HER2-enriched,311.3812982758621
CDK5,Luminal A,361.60268874458876
CDK5,Luminal B,411.80094803149603
CDK5,Normal-like,440.94275
CDK5R1,Basal-like,183.74574845360826
CDK5R1,HER2-enriched,118.59884827586207
CDK5R1,Luminal A,106.87878658008658
CDK5R1,Luminal B,152.43261338582678
CDK5R1,Normal-like,118.63714999999999
CDKN2A,Basal-like,986.6987144329897
CDKN2A,HER2-enriched,229.88706896551724
CDKN2A,Luminal A,120.60823376623377
CDKN2A,Luminal B,124.66011653543308
CDKN2A,Normal-like,144.1853875
CDKN3,Basal-like,292.2798226804124
CDKN3,HER2-enriched,326.1518379310345
CDKN3,Luminal A,113.98500043290043
CDKN3,Luminal B,251.5183779527559
CDKN3,Normal-like,261.598125
CEACAM6,Basal-like,1112.0618907216494
CEACAM6,HER2-enriched,11315.993775862069
CEACAM6,Luminal A,4583.634075757575
CEACAM6,Luminal B,5061.4673
CEACAM6,Normal-like,1354.8041249999999
CELSR3,Basal-like,247.95936804123713
CELSR3,HER2-enriched,369.6767034482759
CELSR3,Luminal A,231.96566450216451
CELSR3,Luminal B,468.6180094488189
CELSR3,Normal-like,109.0519875
CENPA,Basal-like,397.0892092783505
CENPA,HER2-enriched,194.3794396551724
CENPA,Luminal A,75.57902467532467
CENPA,Luminal B,164.5256251968504
CENPA,Normal-like,129.899025
CENPE,Basal-like,827.8476206185567
CENPE,HER2-enriched,557.0403206896551
CENPE,Luminal A,246.8510813852814
CENPE,Luminal B,605.695774015748
CENPE,Normal-like,389.750025
CENPF,Basal-like,5173.468732989691
CENPF,HER2-enriched,3254.24135
CENPF,Luminal A,1531.2503874458876
CENPF,Luminal B,3336.171783464567
CENPF,Normal-like,2223.0015125
CENPI,Basal-like,155.16528453608248
CENPI,HER2-enriched,110.55541206896552
CENPI,Luminal A,46.300871428571426
CENPI,Luminal B,110.92254803149606
CENPI,Normal-like,35.0818125
CENPK,Basal-like,117.48716185567011
CENPK,HER2-enriched,98.60144310344828
CENPK,Luminal A,64.57037922077922
CENPK,Luminal B,139.53006456692913
CENPK,Normal-like,46.9355
CENPL,Basal-like,365.8152762886598
CENPL,HER2-enriched,289.62417413793105
CENPL,Luminal A,180.18374502164502
CENPL,Luminal B,279.83859842519684
CENPL,Normal-like,179.204475
CENPM,Basal-like,251.7413525773196
CENPM,HER2-enriched,233.6246775862069
CENPM,Luminal A,109.42060043290043
CENPM,Luminal B,230.52573070866143
CENPM,Normal-like,330.10927499999997
CENPO,Basal-like,270.24975670103095
CENPO,HER2-enriched,194.304
CENPO,Luminal A,112.36284415584416
CENPO,Luminal B,185.03346062992125
CENPO,Normal-like,128.9135125
CEP55,Basal-like,1077.4732381443298
CEP55,HER2-enriched,752.6529517241379
CEP55,Luminal A,254.14014025974026
CEP55,Luminal B,591.5426291338582
CEP55,Normal-like,436.8428125
CHEK1,Basal-like,526.0540608247422
CHEK1,HER2-enriched,301.09056034482757
CHEK1,Luminal A,158.67857575757574
CHEK1,Luminal B,271.51742440944884
CHEK1,Normal-like,234.6212625
CHPF,Basal-like,2958.241950515464
CHPF,HER2-enriched,3035.847574137931
CHPF,Luminal A,2672.0875558441558
CHPF,Luminal B,2193.4472433070864
CHPF,Normal-like,2694.3401875
CHRNA6,Basal-like,6.789024742268041
CHRNA6,HER2-enriched,8.669636206896552
CHRNA6,Luminal A,17.50022813852814
CHRNA6,Luminal B,10.093674803149606
CHRNA6,Normal-like,6.3618125
CHST11,Basal-like,287.26719072164946
CHST11,HER2-enriched,221.20432068965516
CHST11,Luminal A,156.1570800865801
CHST11,Luminal B,144.49239763779528
CHST11,Normal-like,194.755575
CHST6,Basal-like,176.81083608247422
CHST6,HER2-enriched,46.23841896551724
CHST6,Luminal A,41.70010086580086
CHST6,Luminal B,27.461378740157482
CHST6,Normal-like,47.807775
CHTF18,Basal-like,404.6788721649485
CHTF18,HER2-enriched,348.63793965517243
CHTF18,Luminal A,282.5233909090909
CHTF18,Luminal B,417.70420472440946
CHTF18,Normal-like,415.1862875
CILP2,Basal-like,196.64447216494844
CILP2,HER2-enriched,261.11285344827587
CILP2,Luminal A,397.0721510822511
CILP2,Luminal B,216.38530157480315
CILP2,Normal-like,265.57315
CIT,Basal-like,733.737212371134
CIT,HER2-enriched,579.51005
CIT,Luminal A,348.49633246753245
CIT,Luminal B,682.3739330708661
CIT,Normal-like,381.8349625
CKAP2,Basal-like,1229.9855721649485
CKAP2,HER2-enriched,986.8763775862069
CKAP2,Luminal A,663.597174025974
CKAP2,Luminal B,985.0040527559055
CKAP2,Normal-like,601.9863875
CKAP2L,Basal-like,369.3686793814433
CKAP2L,HER2-enriched,254.0405
CKAP2L,Luminal A,113.67396493506493
CKAP2L,Luminal B,288.25281338582676
CKAP2L,Normal-like,106.3283875
CKS2,Basal-like,1217.4091432989692
CKS2,HER2-enriched,870.5045758620689
CKS2,Luminal A,497.7155593073593
CKS2,Luminal B,796.0165173228346
CKS2,Normal-like,1244.8377375
CLEC5A,Basal-like,208.12989175257732
CLEC5A,HER2-enriched,82.47046896551724
CLEC5A,Luminal A,156.686870995671
CLEC5A,Luminal B,110.99424803149606
CLEC5A,Normal-like,139.295975
CLSPN,Basal-like,308.73888350515466
CLSPN,HER2-enriched,225.20265689655173
CLSPN,Luminal A,79.21442857142857
CLSPN,Luminal B,220.58208897637795
CLSPN,Normal-like,73.0236125
CMPK2,Basal-like,655.9691783505154
CMPK2,HER2-enriched,391.50273103448274
CMPK2,Luminal A,279.36200216450214
CMPK2,Luminal B,417.405631496063
CMPK2,Normal-like,329.8715625
CNGA3,Basal-like,2.978740206185567
CNGA3,HER2-enriched,7.253348275862069
CNGA3,Luminal A,15.589645887445888
CNGA3,Luminal B,53.437292913385825
CNGA3,Normal-like,70.99965
COL10A1,Basal-like,1337.65843814433
COL10A1,HER2-enriched,3890.560010344828
COL10A1,Luminal A,3979.817348051948
COL10A1,Luminal B,2827.1243850393703
COL10A1,Normal-like,950.7325875
COL11A1,Basal-like,2354.5467742268042
COL11A1,HER2-enriched,6093.472024137931
COL11A1,Luminal A,5334.460454978355
COL11A1,Luminal B,3937.469093700787
COL11A1,Normal-like,1154.2929625
COL12A1,Basal-like,6873.339691752577
COL12A1,HER2-enriched,13658.408581034482
COL12A1,Luminal A,15775.46304978355
COL12A1,Luminal B,11022.759811023621
COL12A1,Normal-like,6342.424975
COL1A1,Basal-like,73475.06811237114
COL1A1,HER2-enriched,145201.79426034482
COL1A1,Luminal A,170063.2516073593
COL1A1,Luminal B,104582.82502440945
COL1A1,Normal-like,109248.23191249999
COL1A2,Basal-like,53227.72709793814
COL1A2,HER2-enriched,107145.9988724138
COL1A2,Luminal A,128619.46172900432
COL1A2,Luminal B,79594.76312677165
COL1A2,Normal-like,72679.7696125
COL22A1,Basal-like,570.6357309278351
COL22A1,HER2-enriched,58.81554482758621
COL22A1,Luminal A,60.57222294372294
COL22A1,Luminal B,38.35544173228347
COL22A1,Normal-like,23.098300000000002
COL3A1,Basal-like,51586.9817113402
COL3A1,HER2-enriched,101064.21687931035
COL3A1,Luminal A,117563.33614632035
COL3A1,Luminal B,72150.26236377953
COL3A1,Normal-like,83725.6228
COL5A1,Basal-like,6177.845573195877
COL5A1,HER2-enriched,11690.607479310345
COL5A1,Luminal A,12249.916026839826
COL5A1,Luminal B,8061.408837795276
COL5A1,Normal-like,7154.06585
COL5A2,Basal-like,6554.7480639175255
COL5A2,HER2-enriched,13143.284389655173
COL5A2,Luminal A,13362.501706926407
COL5A2,Luminal B,9160.112864566929
COL5A2,Normal-like,7435.426425
COMP,Basal-like,1363.4107536082474
COMP,HER2-enriched,2957.1404603448277
COMP,Luminal A,3635.1324493506495
COMP,Luminal B,2212.3916118110237
COMP,Normal-like,1940.9159375000002
CRABP2,Basal-like,11370.252102061855
CRABP2,HER2-enriched,9424.664912068965
CRABP2,Luminal A,10807.50273852814
CRABP2,Luminal B,14721.495600787403
CRABP2,Normal-like,15337.867012499999
CREB3L1,Basal-like,594.0256556701031
CREB3L1,HER2-enriched,2943.422875862069
CREB3L1,Luminal A,1693.1413632034632
CREB3L1,Luminal B,1432.9878543307086
CREB3L1,Normal-like,1300.9771
CST1,Basal-like,248.79753195876287
CST1,HER2-enriched,398.9768413793104
CST1,Luminal A,692.0372121212121
CST1,Luminal B,658.0498133858267
CST1,Normal-like,328.6475375
CST2,Basal-like,12.259974226804124
CST2,HER2-enriched,24.436074137931033
CST2,Luminal A,96.28624891774892
CST2,Luminal B,45.417477165354335
CST2,Normal-like,75.9289375
CST6,Basal-like,95.92744742268042
CST6,HER2-enriched,124.03625344827586
CST6,Luminal A,80.38438268398268
CST6,Luminal B,61.284005511811024
CST6,Normal-like,238.52605
CTHRC1,Basal-like,1852.7086072164948
CTHRC1,HER2-enriched,2362.2255344827586
CTHRC1,Luminal A,2119.557134632035
CTHRC1,Luminal B,1742.3115488188976
CTHRC1,Normal-like,1244.2341375
CTSD,Basal-like,22521.18469484536
CTSD,HER2-enriched,25535.503294827588
CTSD,Luminal A,30213.575434632035
CTSD,Luminal B,28830.379106299213
CTSD,Normal-like,38395.605
CTXN1,Basal-like,494.600593814433
CTXN1,HER2-enriched,456.8605844827586
CTXN1,Luminal A,416.63153982683986
CTXN1,Luminal B,407.11158976377953
CTXN1,Normal-like,488.5208
CXCL10,Basal-like,3095.037812371134
CXCL10,HER2-enriched,1554.634553448276
CXCL10,Luminal A,483.9316025974026
CXCL10,Luminal B,791.1909244094488
CXCL10,Normal-like,723.4433625
CXCL11,Basal-like,786.9294041237114
CXCL11,HER2-enriched,592.4324568965517
CXCL11,Luminal A,161.67477186147187
CXCL11,Luminal B,276.38447952755905
CXCL11,Normal-like,253.77790000000002
CXCL9,Basal-like,4013.8794113402064
CXCL9,HER2-enriched,4374.964484482759
CXCL9,Luminal A,1572.2270935064935
CXCL9,Luminal B,2322.5634377952756
CXCL9,Normal-like,3944.6502375
CXCR3,Basal-like,127.13668969072165
CXCR3,HER2-enriched,120.63039655172413
CXCR3,Luminal A,70.0072632034632
CXCR3,Luminal B,79.66708661417323
CXCR3,Normal-like,194.082675
DBF4,Basal-like,524.4490360824742
DBF4,HER2-enriched,389.7831
DBF4,Luminal A,230.05101212121212
DBF4,Luminal B,353.43422598425195
DBF4,Normal-like,281.86823749999996
DEPDC1,Basal-like,705.660824742268
DEPDC1,HER2-enriched,412.5252017241379
DEPDC1,Luminal A,151.97972380952382
DEPDC1,Luminal B,363.80352362204724
DEPDC1,Normal-like,194.8556625
DEPDC1B,Basal-like,243.1332237113402
DEPDC1B,HER2-enriched,183.93611724137932
DEPDC1B,Luminal A,72.77374675324675
DEPDC1B,Luminal B,179.928131496063
DEPDC1B,Normal-like,105.0122625
DIAPH3,Basal-like,464.52883608247424
DIAPH3,HER2-enriched,235.88278965517242
DIAPH3,Luminal A,118.63253203463204
DIAPH3,Luminal B,265.0558653543307
DIAPH3,Normal-like,102.89995
DLGAP5,Basal-like,759.019906185567
DLGAP5,HER2-enriched,566.2673068965518
DLGAP5,Luminal A,212.35104372294373
DLGAP5,Luminal B,468.0053094488189
DLGAP5,Normal-like,254.2051375
DLX5,Basal-like,206.64333711340205
DLX5,HER2-enriched,26.536929310344828
DLX5,Luminal A,18.029133766233766
DLX5,Luminal B,11.267730708661418
DLX5,Normal-like,14.1983125
DONSON,Basal-like,574.7718721649485
DONSON,HER2-enriched,449.2523586206897
DONSON,Luminal A,212.4544805194805
DONSON,Luminal B,367.3554881889764
DONSON,Normal-like,201.4629375
DPP3,Basal-like,1193.1796278350516
DPP3,HER2-enriched,2057.566455172414
DPP3,Luminal A,1268.8805259740259
DPP3,Luminal B,1696.51038503937
DPP3,Normal-like,1361.27585
DQX1,Basal-like,12.979122680412372
DQX1,HER2-enriched,64.48940862068966
DQX1,Luminal A,29.34374761904762
DQX1,Luminal B,65.6319905511811
DQX1,Normal-like,5.6129875
DTL,Basal-like,875.5937391752577
DTL,HER2-enriched,815.9494396551725
DTL,Luminal A,435.7448324675325
DTL,Luminal B,935.3900708661417
DTL,Normal-like,453.691875
E2F1,Basal-like,766.5531402061856
E2F1,HER2-enriched,583.7796327586207
E2F1,Luminal A,250.8114683982684
E2F1,Luminal B,624.2828897637795
E2F1,Normal-like,352.6899
E2F2,Basal-like,491.21466701030926
E2F2,HER2-enriched,293.23200172413794
E2F2,Luminal A,108.4291683982684
E2F2,Luminal B,250.03795748031496
E2F2,Normal-like,229.697425
E2F7,Basal-like,202.41678969072166
E2F7,HER2-enriched,134.96036896551723
E2F7,Luminal A,67.17966493506493
E2F7,Luminal B,166.20605118110237
E2F7,Normal-like,47.3535125
