ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,5/428,20/11230,0.25,6.559579439252336,4.953298157869316,7.575513972206981e-4,0.004078217107317644,0.0030657384059872275,BGN/SDC1/GPC2/VCAN/GPC4,5
R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,5/428,20/11230,0.25,6.559579439252336,4.953298157869316,7.575513972206981e-4,0.004078217107317644,0.0030657384059872275,BGN/SDC1/GPC2/VCAN/GPC4,5
R-HSA-69052,Switching of origins to a post-replicative state,10/428,79/11230,0.12658227848101267,3.321306045191057,4.121253975533519,7.967822469390218e-4,0.004265177370251575,0.003206282973229998,CDC6/UBE2C/CCNE2/CCNE1/CCNA2/ORC1/PSMD3/UBE2S/MCM2/MCM6,10
R-HSA-176974,Unwinding of DNA,4/428,12/11230,0.3333333333333333,8.746105919003115,5.343879730096558,8.069764593880962e-4,0.004265177370251575,0.003206282973229998,CDC45/GINS1/MCM2/MCM6,4
R-HSA-5685939,HDR through MMEJ (alt-NHEJ),4/428,12/11230,0.3333333333333333,8.746105919003115,5.343879730096558,8.069764593880962e-4,0.004265177370251575,0.003206282973229998,POLQ/FEN1/BRCA2/PARP1,4
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,7/428,41/11230,0.17073170731707318,4.479712787782084,4.4430380194874965,8.128056971220518e-4,0.004265177370251575,0.003206282973229998,BGN/ACAN/SDC1/GPC2/CHST6/VCAN/GPC4,7
R-HSA-8875878,MET promotes cell motility,7/428,41/11230,0.17073170731707318,4.479712787782084,4.4430380194874965,8.128056971220518e-4,0.004265177370251575,0.003206282973229998,COL11A1/FN1/COL1A1/COL5A1/COL5A2/COL1A2/COL3A1,7
R-HSA-141405,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,5/428,21/11230,0.23809523809523808,6.247218513573654,4.790663888256357,9.63482052323188e-4,0.005005289261818962,0.003762650962230556,UBE2C/CDC20/BUB1B/UBE2S/MAD2L1,5
R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,5/428,21/11230,0.23809523809523808,6.247218513573654,4.790663888256357,9.63482052323188e-4,0.005005289261818962,0.003762650962230556,UBE2C/CDC20/BUB1B/UBE2S/MAD2L1,5
R-HSA-69190,DNA strand elongation,6/428,32/11230,0.1875,4.919684579439252,4.419734860960658,0.0011536740010944994,0.005963518841478532,0.004482985644472997,CDC45/GINS1/MCM2/FEN1/MCM6/POLD4,6
R-HSA-9734009,Defective Intrinsic Pathway for Apoptosis,5/428,23/11230,0.21739130434782608,5.7039821210889885,4.49495381103739,0.00149615748067429,0.0076955822892108275,0.005785038304639517,CDC25C/CDKN2A/CDC25A/CDK5/CDK5R1,5
R-HSA-162658,Golgi Cisternae Pericentriolar Stack Reorganization,4/428,14/11230,0.2857142857142857,7.496662216288384,4.8414521440811455,0.0015357824796963825,0.00786048274090907,0.005908999740392615,PLK1/CDK1/CCNB2/CCNB1,4
R-HSA-8854518,AURKA Activation by TPX2,9/428,72/11230,0.125,3.279789719626168,3.8628531608928527,0.0015781685307590509,0.008036841101992142,0.006041574487288557,NEK2/PLK1/TPX2/CDK1/AURKA/HMMR/PLK4/TUBG1/ODF2,9
R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,15/428,165/11230,0.09090909090909091,2.385301614273577,3.568214405634257,0.001585709745821356,0.008036841101992142,0.006041574487288557,TUBB3/ISG15/CDK1/GBP5/KPNA2/OASL/OAS2/TUBA1C/OAS3/FANCA/STAT1/NUP210/UBE2L6/FANCB/ADAR,15
R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,5/428,24/11230,0.20833333333333334,5.466316199376948,4.359835638228864,0.0018315025046307094,0.009237529622870423,0.006944174033908976,UBE2C/CDC20/CDK1/CCNB1/UBE2S,5
R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,8/428,60/11230,0.13333333333333333,3.4984423676012457,3.862413029425142,0.0018740482433379172,0.009406454709314473,0.007071160928333256,UBE2C/CDC20/CDK1/BUB1B/CCNA2/PSMD3/UBE2S/MAD2L1,8
R-HSA-1630316,Glycosaminoglycan metabolism,13/428,136/11230,0.09558823529411764,2.5080744914788347,3.5219931457907006,0.0020428432458200036,0.010204394867341267,0.007671000447360541,CEMIP/BGN/ACAN/HMMR/SDC1/GPC2/CHST6/VCAN/GPC4/CHST11/CHPF/ABCC5/HYAL3,13
R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,8/428,61/11230,0.13114754098360656,3.4410908533782747,3.805240009689384,0.0020867411661480866,0.010373799385779245,0.007798347747579353,UBE2C/PLK1/CDC20/AURKB/AURKA/PTTG1/PSMD3/UBE2S,8
R-HSA-9925563,Developmental Lineage of Pancreatic Ductal Cells,7/428,48/11230,0.14583333333333334,3.826421339563863,3.906052867393949,0.0021171224311450176,0.010474715266474635,0.007874209743907786,COL11A1/FN1/COL1A1/COL5A1/COL5A2/COL1A2/COL3A1,7
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,6/428,36/11230,0.16666666666666666,4.373052959501558,4.034800797959768,0.0021806222040950886,0.010737755782250223,0.008071946497573241,UBE2C/CCNE2/CCNE1/E2F1/E2F2/UBE2S,6
R-HSA-9833482,PKR-mediated signaling,9/428,76/11230,0.11842105263157894,3.107169208066896,3.6688607309681327,0.002311083908447007,0.011326491419228491,0.008514519662699501,TUBB3/ISG15/CDK1/TUBA1C/FANCA/STAT1/UBE2L6/FANCB/ADAR,9
R-HSA-5685938,HDR through Single Strand Annealing (SSA),6/428,37/11230,0.16216216216216217,4.254862338974489,3.9473039969763173,0.0025205275021274918,0.012286385402092832,0.009236105535031541,EXO1/RAD51/BRIP1/BLM/BRCA1/RMI1,6
R-HSA-5633007,Regulation of TP53 Activity,14/428,156/11230,0.08974358974358974,2.3547208243469924,3.391565315633676,0.002530593335945973,0.012286385402092832,0.009236105535031541,EXO1/TPX2/CDK1/AURKB/AURKA/CCNA2/BRIP1/CDKN2A/BLM/CHEK1/CDK5/BRCA1/CDK5R1/RMI1,14
R-HSA-1362300,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,4/428,16/11230,0.25,6.559579439252336,4.429574338212536,0.002628316858277665,0.012701494026746484,0.009548157203632938,MYBL2/CDK1/E2F1/CCNA2,4
R-HSA-9675126,Diseases of mitotic cell cycle,6/428,38/11230,0.15789473684210525,4.142892277422528,3.862849449954847,0.0028987254794039085,0.013943406356947505,0.01048174612922856,UBE2C/CCNE2/CCNE1/E2F1/E2F2/UBE2S,6
R-HSA-3000171,Non-integrin membrane-ECM interactions,9/428,80/11230,0.1125,2.9518107476635516,3.487270242334185,0.003291942073468978,0.015749194600439713,0.011839220296364184,COL10A1/COL11A1/FN1/COL1A1/COL5A1/COL5A2/COL1A2/COL3A1/SDC1,9
R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,4/428,17/11230,0.23529411764705882,6.17372182517867,4.24919794642741,0.003334766902884251,0.015749194600439713,0.011839220296364184,CDK1/AURKA/CDC25C/CCNB1,4
R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,4/428,17/11230,0.23529411764705882,6.17372182517867,4.24919794642741,0.003334766902884251,0.015749194600439713,0.011839220296364184,CCNE2/CCNE1/E2F1/E2F2,4
R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",4/428,17/11230,0.23529411764705882,6.17372182517867,4.24919794642741,0.003334766902884251,0.015749194600439713,0.011839220296364184,CCNE2/CCNE1/E2F1/E2F2,4
R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,8/428,66/11230,0.12121212121212122,3.180402152364769,3.5362177103016905,0.003450436891984438,0.016221737243311454,0.012194447124803304,TUBB3/PLK1/CDK1/GTSE1/CCNB2/PSMD3/CCNB1/TUBA1C,8
