symbol,ENSG_base,log2FC_P1,padj_P1,log2FC_P2,padj_P2,mean_log2FC,min_padj,mean_tumor,mean_normal,log2FC_tcga,tcga_validated
DEPDC1,ENSG00000024526,2.783184479,3.75e-24,3.51090974,2.98e-7,3.147,3.75e-24,306.516,32.067,3.217,YES
CDC45,ENSG00000093009,2.728480935,1.19e-20,2.934971851,1.21e-5,2.832,1.19e-20,215.857,22.445,3.209,YES
SPC24,ENSG00000161888,2.961637372,1.3099999999999999e-37,2.88847383,6.54488e-4,2.925,1.3099999999999999e-37,27.967,2.16,3.196,YES
TUBB3,ENSG00000258947,3.165747749,1.4e-12,3.969699334,1.16e-12,3.568,1.16e-12,1195.419,131.169,3.178,YES
CLEC5A,ENSG00000258227,2.650969962,2.2e-19,5.173194633,9.7e-9,3.912,2.2e-19,145.585,15.278,3.171,YES
CENPF,ENSG00000117724,3.098174573,1.43e-36,3.225965763,3.83e-12,3.162,1.43e-36,2521.529,279.895,3.167,YES
CDK1,ENSG00000170312,3.072369351,6.46e-38,2.964913702,3.33e-6,3.019,6.46e-38,1007.264,111.502,3.164,YES
KIFC1,ENSG00000237649,3.119384776,9.450000000000001e-33,2.197225855,6.45e-5,2.658,9.450000000000001e-33,726.77,81.556,3.14,YES
HMMR,ENSG00000072571,2.701741767,2.2999999999999998e-23,2.481068104,0.001626158,2.591,2.2999999999999998e-23,320.988,35.61,3.137,YES
CDCA3,ENSG00000111665,2.913336989,3.19e-28,1.786883963,0.036246922,2.35,3.19e-28,283.35,31.375,3.135,YES
SPC25,ENSG00000152253,2.842427635,3.16e-43,1.27464719,7.38514e-4,2.059,3.16e-43,148.654,16.036,3.135,YES
ARTN,ENSG00000117407,2.483903725,1.58e-14,2.626752435,0.007317305,2.555,1.58e-14,83.807,8.693,3.129,YES
GAL3ST2,ENSG00000154252,5.942958129,5.99e-23,5.514149857,0.034977712,5.729,5.99e-23,16.303,0.983,3.125,YES
AURKA,ENSG00000087586,2.991433936,1.1799999999999999e-31,2.614031526,3.1e-6,2.803,1.1799999999999999e-31,555.394,63.138,3.117,YES
ONECUT2,ENSG00000119547,3.598788532,1.36e-18,3.571900451,0.013610317,3.585,1.36e-18,83.988,8.806,3.116,YES
CXCL9,ENSG00000138755,2.606233572,3.85e-9,4.99728778,5.34e-13,3.802,5.34e-13,2379.319,276.009,3.103,YES
TK1,ENSG00000167900,2.653493558,6.7e-24,2.775175812,1.69e-6,2.714,6.7e-24,1378.171,161.138,3.089,YES
SKA3,ENSG00000165480,3.116909623,4.26e-32,2.504172459,3.48844e-4,2.811,4.26e-32,219.983,25.015,3.087,YES
ADAMTS14,ENSG00000138316,3.486927475,3.0099999999999997e-25,3.243368022,1.59e-5,3.365,3.0099999999999997e-25,141.334,15.76,3.086,YES
GTSE1,ENSG00000075218,2.524649517,1.6700000000000002e-26,2.710353172,7.65e-5,2.618,1.6700000000000002e-26,258.086,29.655,3.079,YES
CLSPN,ENSG00000092853,2.710979523,6.5e-25,3.732073732,5.92e-13,3.222,6.5e-25,153.691,17.484,3.065,YES
CDCA5,ENSG00000146670,2.989565536,8.16e-36,2.673759363,3.1e-6,2.832,8.16e-36,613.359,72.565,3.062,YES
SCUBE3,ENSG00000146197,3.114170995,2.97e-16,2.935459311,0.012943075,3.025,2.97e-16,237.964,27.886,3.048,YES
BUB1B,ENSG00000156970,2.794120903,3.61e-24,2.424548923,9.65383e-4,2.609,3.61e-24,450.209,54.011,3.036,YES
SYNGR3,ENSG00000127561,3.787348732,1.88e-21,2.519818757,0.016947022,3.154,1.88e-21,64.693,7.04,3.03,YES
DEPDC1B,ENSG00000035499,2.672732594,1.5e-19,2.643898937,2.25e-7,2.658,1.5e-19,134.659,15.722,3.02,YES
ZNF695,ENSG00000197472,2.642047699,6.69e-19,2.778817885,4.96e-5,2.71,6.69e-19,70.714,7.858,3.017,YES
HSD17B6,ENSG00000025423,3.323925662,6.009999999999999e-37,3.696468222,7.36e-6,3.51,6.009999999999999e-37,107.617,12.427,3.016,YES
DTL,ENSG00000143476,3.149778924,1.0799999999999998e-37,3.600266246,7.24e-18,3.375,1.0799999999999998e-37,638.321,78.265,3.012,YES
CDKN3,ENSG00000100526,2.743972678,8.08e-31,2.22254634,2.39e-6,2.483,8.08e-31,194.525,23.497,2.997,YES
RECQL4,ENSG00000160957,2.491291479,1.26e-23,2.705344407,8.95e-5,2.598,1.26e-23,546.252,67.601,2.996,YES
ASF1B,ENSG00000105011,3.057040837,4.03e-38,2.972495123,5.34e-13,3.015,4.03e-38,590.436,73.193,2.995,YES
CDCA8,ENSG00000134690,2.847131668,3.6899999999999996e-32,2.58629719,2.66e-8,2.717,3.6899999999999996e-32,504.256,62.402,2.994,YES
MKI67,ENSG00000148773,2.813808749,1.01e-18,3.269423062,9.18e-6,3.042,1.01e-18,2282.174,286.024,2.992,YES
CDCA2,ENSG00000184661,2.510341507,4.57e-20,2.551661524,0.001589777,2.531,4.57e-20,207.22,25.347,2.982,YES
CDC6,ENSG00000094804,4.232784101,1.12e-25,4.251470346,1.68e-5,4.242,1.12e-25,643.157,80.796,2.977,YES
KIF26B,ENSG00000162849,3.46955543,9.999999999999999e-32,3.343981641,1.18e-12,3.407,9.999999999999999e-32,380.412,47.483,2.976,YES
NCAPG,ENSG00000109805,2.591626917,4.6899999999999994e-23,3.029258083,1.11e-15,2.81,4.6899999999999994e-23,504.112,63.294,2.974,YES
MATN3,ENSG00000132031,3.201564393,1.55e-19,3.243065554,5.61e-5,3.222,1.55e-19,570.941,71.89,2.972,YES
CCNE2,ENSG00000175305,2.520770529,8.9e-26,3.178949723,5.28e-21,2.85,8.9e-26,323.716,40.559,2.966,YES
TTK,ENSG00000112742,2.657624892,1.19e-23,2.597356489,4.59e-7,2.627,1.19e-23,334.77,42.082,2.962,YES
METRN,ENSG00000103260,2.430871719,5.78e-18,1.682715776,0.00695586,2.057,5.78e-18,803.373,106.227,2.907,YES
CCNE1,ENSG00000105173,1.862533475,6.82e-16,3.42347077,1.45e-5,2.643,6.82e-16,181.047,23.478,2.895,YES
SOX11,ENSG00000176887,2.900725887,3.17e-9,3.610605428,3.33e-10,3.256,3.33e-10,326.071,43.182,2.888,YES
SYT1,ENSG00000067715,2.612174284,3.24e-10,3.51990847,0.009125224,3.066,3.24e-10,741.236,99.932,2.878,YES
ESPL1,ENSG00000135476,2.615771278,1.88e-24,2.611050485,2.54e-7,2.613,1.88e-24,376.44,50.701,2.868,YES
MND1,ENSG00000121211,1.507526171,0.005978695,7.506925356,2.31e-6,4.507,2.31e-6,76.478,9.618,2.867,YES
ESM1,ENSG00000164283,3.928298525,7.829999999999999e-31,3.288439867,0.002792013,3.608,7.829999999999999e-31,227.498,30.443,2.861,YES
HOXC13,ENSG00000123364,3.19132528,2.41e-17,3.67896104,2.23e-5,3.435,2.41e-17,252.815,34.089,2.855,YES
SPAG5,ENSG00000076382,2.986701695,3.13e-33,3.323652579,5.14e-9,3.155,3.13e-33,845.091,116.247,2.851,YES
FN1,ENSG00000115414,3.611382769,4.2e-26,3.666920535,7.82e-14,3.639,4.2e-26,106503.206,14774.925,2.85,YES
KIF15,ENSG00000163808,2.383284018,3.83e-24,2.659410036,1.85337e-4,2.521,3.83e-24,248.065,33.66,2.845,YES
MNX1,ENSG00000130675,3.44741844,2.09e-16,5.412538565,6.14968e-4,4.43,2.09e-16,26.66,2.854,2.844,YES
CTXN1,ENSG00000178531,2.762334909,1.16e-25,1.546324279,0.009790548,2.154,1.16e-25,536.282,73.99,2.841,YES
E2F7,ENSG00000165891,2.855230229,6.79e-25,3.792993467,4.23e-14,3.324,6.79e-25,115.326,15.258,2.839,YES
FAM72A,ENSG00000196550,2.305597554,5.36e-17,1.5286394,0.009452227,1.917,5.36e-17,41.411,4.949,2.834,YES
NCAPH,ENSG00000121152,2.791900437,9.740000000000001e-27,3.262910275,3.61e-9,3.027,9.740000000000001e-27,348.888,48.143,2.832,YES
CENPM,ENSG00000100162,2.295860256,1.09e-19,2.166517796,0.002225651,2.231,1.09e-19,181.144,24.592,2.831,YES
F12,ENSG00000131187,2.260828636,1.75e-15,2.157235016,0.008317676,2.209,1.75e-15,178.722,24.286,2.829,YES
CCNA2,ENSG00000145386,2.716162625,5.389999999999999e-23,2.038548161,0.001332323,2.377,5.389999999999999e-23,543.117,76.42,2.813,YES
GPRIN1,ENSG00000169258,2.984051251,3.3299999999999997e-35,3.000562294,8.67e-9,2.992,3.3299999999999997e-35,224.201,31.153,2.808,YES
RDM1,ENSG00000278023,3.010224177,8.43e-18,1.8314706,0.002452965,2.421,8.43e-18,17.091,1.612,2.792,YES
CDKN2A,ENSG00000147889,1.517073194,5.26e-8,2.463200131,2.40749e-4,1.99,5.26e-8,375.012,53.561,2.785,YES
PRR11,ENSG00000068489,2.85970319,2.69e-20,2.982878549,0.003650486,2.921,2.69e-20,158.728,22.202,2.783,YES
FAM72D,ENSG00000215784,2.517219791,1.25e-14,2.423222013,1.41e-5,2.47,1.25e-14,81.404,11.107,2.767,YES
ZIC2,ENSG00000043355,2.984322847,2e-10,2.7071411,0.006669303,2.846,2e-10,50.76,6.665,2.756,YES
E2F8,ENSG00000129173,1.227652908,2.94e-23,3.614604957,4.07e-7,2.421,2.94e-23,136.402,19.4,2.752,YES
ADAMDEC1,ENSG00000134028,1.498303818,0.00303616,4.978919494,6.26e-7,3.239,6.26e-7,198.566,28.711,2.748,YES
CENPE,ENSG00000138778,2.336135052,1.63e-25,1.679268988,0.002375902,2.008,1.63e-25,425.854,63.098,2.735,YES
ERCC6L,ENSG00000186871,2.7975742,1.03e-32,2.734090883,6.51e-7,2.766,1.03e-32,155.42,22.819,2.715,YES
ESCO2,ENSG00000171320,2.506044498,8.6e-18,2.354760022,0.014412568,2.43,8.6e-18,151.468,22.246,2.713,YES
OIP5,ENSG00000104147,2.009059803,6.73e-14,2.021446491,0.010944286,2.015,6.73e-14,89.564,12.814,2.713,YES
FAM111B,ENSG00000189057,2.861340533,3.76e-16,2.751341124,9.74e-10,2.806,3.76e-16,545.683,82.638,2.708,YES
SALL4,ENSG00000101115,3.315502639,3.48e-33,2.176073926,8.52e-5,2.746,3.48e-33,37.992,4.988,2.703,YES
ULBP1,ENSG00000111981,2.956540853,6.4e-12,4.176531859,0.002559364,3.567,6.4e-12,36.888,4.837,2.698,YES
PACSIN1,ENSG00000124507,2.637460571,4.5000000000000004e-21,2.203962483,3.31749e-4,2.421,4.5000000000000004e-21,97.994,14.275,2.696,YES
BMP8A,ENSG00000183682,3.031494761,1.68e-34,3.553144879,6.54e-30,3.292,1.68e-34,301.205,45.748,2.693,YES
E2F1,ENSG00000101412,2.469146304,8.33e-26,2.505509987,1.09e-10,2.487,8.33e-26,477.053,73.007,2.691,YES
KIF23,ENSG00000137807,2.63452946,2.15e-32,2.124435045,3.41e-6,2.379,2.15e-32,588.994,90.967,2.682,YES
IGFL3,ENSG00000188624,6.211549416,1.36e-19,5.951047599,0.008310566,6.081,1.36e-19,6.129,0.116,2.676,YES
PAQR4,ENSG00000162073,2.675295436,2.93e-32,2.031724186,1.21e-5,2.354,2.93e-32,1334.616,208.225,2.674,YES
RAD51,ENSG00000051180,2.485232478,1.0999999999999998e-31,2.738438633,2.54e-6,2.612,1.0999999999999998e-31,202.419,31.104,2.664,YES
CBX2,ENSG00000173894,2.95284106,2.35e-20,2.219862262,0.024143893,2.586,2.35e-20,528.292,82.524,2.664,YES
HOTAIR,ENSG00000228630,2.643387598,7.73e-8,3.371986258,0.005451803,3.008,7.73e-8,132.184,20.049,2.662,YES
POLQ,ENSG00000051341,2.379901251,4.68e-24,2.639133613,6.05e-6,2.51,4.68e-24,167.272,25.653,2.658,YES
SHCBP1,ENSG00000171241,2.553921485,7.53e-26,3.620696004,3.25e-7,3.087,7.53e-26,254.903,40.093,2.639,YES
PRC1,ENSG00000198901,1.465999773,3.12e-9,2.182172656,3.29531e-4,1.824,3.12e-9,1280.057,204.881,2.637,YES
EME1,ENSG00000154920,2.679660539,2.5100000000000004e-27,2.934927799,5.36e-6,2.807,2.5100000000000004e-27,107.683,16.483,2.636,YES
CELSR3,ENSG00000008300,2.600552393,4.86e-17,3.807211389,5.79e-9,3.204,4.86e-17,314.681,50.221,2.624,YES
P4HA3,ENSG00000149380,2.723925568,5.77e-20,3.164256927,1.77094e-4,2.944,5.77e-20,207.289,32.792,2.624,YES
IL21R,ENSG00000103522,2.105835164,3.31e-8,4.712287783,1.36e-14,3.409,1.36e-14,117.196,18.328,2.612,YES
CST6,ENSG00000175315,2.484510686,1.4e-9,2.340099525,0.003068849,2.412,1.4e-9,92.951,14.513,2.598,YES
NKX3-2,ENSG00000109705,3.202400472,1.17e-17,4.672269161,4.3e-5,3.937,1.17e-17,24.49,3.247,2.586,YES
CKS2,ENSG00000123975,2.573545632,3.73e-44,1.838184499,7.8e-5,2.206,3.73e-44,728.068,121.594,2.572,YES
PAX1,ENSG00000125813,3.921688709,4.12e-13,3.486803792,0.017681356,3.704,4.12e-13,18.059,2.209,2.57,YES
ZWINT,ENSG00000122952,2.729807653,2.0199999999999998e-38,1.965066022,0.013717249,2.347,2.0199999999999998e-38,862.835,145.885,2.556,YES
UBE2S,ENSG00000108106,2.300333116,1.2600000000000001e-27,1.697738173,0.004984721,1.999,1.2600000000000001e-27,511.097,86.259,2.553,YES
CCR8,ENSG00000179934,2.359198193,6e-6,5.030718605,1.06e-7,3.695,1.06e-7,15.164,1.759,2.551,YES
SLC7A5,ENSG00000103257,1.782454121,5.97e-10,1.94198493,0.003041858,1.862,5.97e-10,2703.99,461.36,2.549,YES
NPTX2,ENSG00000106236,1.253057545,7.77038e-4,1.826293765,0.009017993,1.54,7.77038e-4,112.826,18.522,2.544,YES
TRIP13,ENSG00000071539,2.313489714,1.84e-26,3.07174371,2.45e-6,2.693,1.84e-26,438.827,74.455,2.543,YES
CENPI,ENSG00000102384,1.878990744,1.02e-25,2.540818934,1.7e-6,2.21,1.02e-25,76.849,12.395,2.539,YES
EDN2,ENSG00000127129,2.780480022,4.57e-13,3.634469089,1.8658e-4,3.207,4.57e-13,154.433,25.802,2.536,YES
NKX2-5,ENSG00000183072,2.824547097,6.24762e-4,5.123789091,0.031935193,3.974,6.24762e-4,20.489,2.741,2.522,YES
E2F2,ENSG00000007968,2.066624018,3.83e-14,2.734567657,1.37e-7,2.401,3.83e-14,225.098,38.503,2.517,YES
CCNB1,ENSG00000134057,2.53760888,7.23e-38,1.585516347,0.004576616,2.062,7.23e-38,1100.625,192.93,2.506,YES
GBP5,ENSG00000154451,2.033823302,2.49e-9,3.18691956,3.16e-24,2.61,3.16e-24,621.534,108.951,2.501,YES
KIF11,ENSG00000138160,2.316197743,2.4e-30,2.180498312,1.18985e-4,2.248,2.4e-30,851.148,149.647,2.5,YES
LINGO1,ENSG00000169783,2.626630201,7.64e-15,2.547052362,7.6701e-4,2.587,7.64e-15,527.224,93.134,2.488,YES
MUC1,ENSG00000185499,2.356788552,2.99e-12,2.537808415,0.002968418,2.447,2.99e-12,12105.331,2159.208,2.487,YES
GUCY1B2,ENSG00000123201,2.424343446,3.59e-7,5.006703906,3.35673e-4,3.716,3.59e-7,14.112,1.703,2.483,YES
IL4I1,ENSG00000104951,2.634589759,2.13e-13,3.52342309,7.33e-8,3.079,2.13e-13,245.125,43.071,2.481,YES
TNFRSF9,ENSG00000049249,1.986406522,2.62e-7,3.259913677,2.66e-8,2.623,2.66e-8,22.8,3.29,2.472,YES
DIAPH3,ENSG00000139734,2.08791566,1.06e-19,2.486451527,0.001341184,2.287,1.06e-19,209.371,37.028,2.468,YES
MFAP2,ENSG00000117122,2.529484114,6.23e-37,2.201181837,7.32e-5,2.365,6.23e-37,1161.903,209.289,2.467,YES
DLX5,ENSG00000105880,3.319091173,7.96e-16,4.724709527,6.37073e-4,4.022,7.96e-16,52.27,8.654,2.464,YES
ZIC1,ENSG00000152977,1.605228947,0.006155489,3.644172917,0.032450315,2.625,0.006155489,69.514,11.792,2.463,YES
