symbol,top_subtype,top_mean_expr
CCDC87,HER2-enriched,58.80430689655172
CCL11,HER2-enriched,75.08057413793104
CCNA2,Basal-like,1128.7787350515464
CCNB1,Basal-like,1605.4119907216495
CCNB2,Basal-like,1085.481656701031
CCNE1,Basal-like,499.25358041237115
CCNE2,HER2-enriched,523.1635172413793
CCNF,Luminal B,842.3189173228346
CCR8,HER2-enriched,32.35051724137931
CD24,HER2-enriched,64019.95505689655
CD80,Basal-like,45.71920824742268
CDC20,Basal-like,2012.2895237113403
CDC25A,Basal-like,419.4554567010309
CDC25C,Luminal B,184.21671811023623
CDC45,Basal-like,430.2038154639175
CDC6,HER2-enriched,1689.6173189655171
CDC7,Basal-like,530.7554587628866
CDCA2,Basal-like,600.2564412371134
CDCA3,Basal-like,602.3864845360824
CDCA5,Basal-like,1143.1331144329897
CDCA8,Basal-like,1212.9372051546393
CDH11,Luminal A,3272.1948484848485
CDK1,Basal-like,1654.9703835051546
CDK5,Normal-like,440.94275
CDK5R1,Basal-like,183.74574845360826
CDKN2A,Basal-like,986.6987144329897
CDKN3,HER2-enriched,326.1518379310345
CEACAM6,HER2-enriched,11315.993775862069
CELSR3,Luminal B,468.6180094488189
CENPA,Basal-like,397.0892092783505
CENPE,Basal-like,827.8476206185567
CENPF,Basal-like,5173.468732989691
CENPI,Basal-like,155.16528453608248
CENPK,Luminal B,139.53006456692913
CENPL,Basal-like,365.8152762886598
CENPM,Normal-like,330.10927499999997
CENPO,Basal-like,270.24975670103095
CEP55,Basal-like,1077.4732381443298
CHEK1,Basal-like,526.0540608247422
CHPF,HER2-enriched,3035.847574137931
CHRNA6,Luminal A,17.50022813852814
CHST11,Basal-like,287.26719072164946
CHST6,Basal-like,176.81083608247422
CHTF18,Luminal B,417.70420472440946
CILP2,Luminal A,397.0721510822511
CIT,Basal-like,733.737212371134
CKAP2,Basal-like,1229.9855721649485
CKAP2L,Basal-like,369.3686793814433
CKS2,Normal-like,1244.8377375
CLEC5A,Basal-like,208.12989175257732
CLSPN,Basal-like,308.73888350515466
CMPK2,Basal-like,655.9691783505154
CNGA3,Normal-like,70.99965
COL10A1,Luminal A,3979.817348051948
COL11A1,HER2-enriched,6093.472024137931
COL12A1,Luminal A,15775.46304978355
COL1A1,Luminal A,170063.2516073593
COL1A2,Luminal A,128619.46172900432
COL22A1,Basal-like,570.6357309278351
COL3A1,Luminal A,117563.33614632035
COL5A1,Luminal A,12249.916026839826
COL5A2,Luminal A,13362.501706926407
COMP,Luminal A,3635.1324493506495
CRABP2,Normal-like,15337.867012499999
CREB3L1,HER2-enriched,2943.422875862069
CST1,Luminal A,692.0372121212121
CST2,Luminal A,96.28624891774892
CST6,Normal-like,238.52605
CTHRC1,HER2-enriched,2362.2255344827586
CTSD,Normal-like,38395.605
CTXN1,Basal-like,494.600593814433
CXCL10,Basal-like,3095.037812371134
CXCL11,Basal-like,786.9294041237114
CXCL9,HER2-enriched,4374.964484482759
CXCR3,Normal-like,194.082675
DBF4,Basal-like,524.4490360824742
DEPDC1,Basal-like,705.660824742268
DEPDC1B,Basal-like,243.1332237113402
DIAPH3,Basal-like,464.52883608247424
DLGAP5,Basal-like,759.019906185567
DLX5,Basal-like,206.64333711340205
DONSON,Basal-like,574.7718721649485
DPP3,HER2-enriched,2057.566455172414
DQX1,Luminal B,65.6319905511811
DTL,Luminal B,935.3900708661417
E2F1,Basal-like,766.5531402061856
E2F2,Basal-like,491.21466701030926
E2F7,Basal-like,202.41678969072166
E2F8,Luminal B,235.81113937007873
EDN2,Basal-like,280.8467587628866
EGLN3,HER2-enriched,2032.500474137931
EIF4EBP1,Normal-like,1626.3342625
EME1,HER2-enriched,191.73282931034484
ENTPD7,HER2-enriched,695.0697689655173
EPYC,HER2-enriched,121.67917068965518
ERBB2,HER2-enriched,84267.95391206896
ERCC6L,HER2-enriched,274.21308620689655
ERMN,HER2-enriched,50.024763793103446
ESCO2,Luminal B,237.07989212598426
ESM1,HER2-enriched,330.44208620689653
ESPL1,Luminal B,611.5039976377952
ETV7,Basal-like,269.8023237113402
EVPL,Normal-like,1384.960725
EXO1,Basal-like,651.6846
EZH2,Basal-like,961.4361175257732
F12,Luminal B,187.15494645669293
FAM111B,HER2-enriched,1080.6140379310345
FAM72A,Basal-like,85.12975670103093
FAM72D,Basal-like,178.68798453608247
FAM83D,Basal-like,850.8848845360825
FANCA,Basal-like,692.3812989690722
FANCB,Basal-like,66.09222783505155
FANCD2,Basal-like,677.9647804123712
FANCI,Basal-like,1618.9041845360825
FBXO43,Normal-like,34.7628
FCGR1A,Normal-like,229.0880625
FCGR3A,HER2-enriched,2295.608653448276
FEN1,Basal-like,1407.79493814433
FER1L6,Luminal A,8.675555844155845
FKBP10,Luminal A,3395.967258874459
FLAD1,Basal-like,1930.417580412371
FLVCR1,Luminal B,346.13179842519685
FN1,HER2-enriched,150452.0094948276
FNDC1,Basal-like,2070.3135577319586
FOXD3,Basal-like,21.485538144329897
FOXM1,Basal-like,3100.4092525773194
FOXP3,HER2-enriched,148.62626896551726
FOXS1,Normal-like,116.5447875
FUT7,Normal-like,25.9884
GABRD,HER2-enriched,82.838722413793107
GAL3ST2,HER2-enriched,76.7783551724138
GALNT5,Luminal A,437.0817437229437
GAS2L3,Basal-like,118.92669793814433
GBP5,Basal-like,1502.032407216495
GINS1,Basal-like,670.2751412371134
GJB2,Basal-like,1066.278193814433
GK,HER2-enriched,230.3869775862069
GPC2,Basal-like,125.63661958762887
GPC4,HER2-enriched,1839.2261413793103
GPR141,HER2-enriched,20.090370689655174
GPR68,Normal-like,296.7732125
GPR84,Basal-like,82.7545381443299
GPRIN1,Basal-like,338.27542164948454
GRIN2D,Normal-like,183.71676250000002
GTSE1,Basal-like,523.6799082474226
GUCY1B2,HER2-enriched,17.570179310344827
HAGHL,Normal-like,237.323075
HAPLN1,Basal-like,244.72096907216496
HELLS,Basal-like,305.9258329896907
HJURP,Basal-like,666.2759082474226
HLA-DQB1,Normal-like,2957.25045
HMGA1,Basal-like,4487.156537113402
HMGB3,HER2-enriched,2610.313825862069
HMMR,Basal-like,538.8511670103093
HMX3,Luminal B,3.314903937007874
HOTAIR,HER2-enriched,221.00212586206897
HOXC10,HER2-enriched,1175.9740672413793
HOXC11,HER2-enriched,244.02352931034483
HOXC12,Basal-like,9.632444329896908
HOXC13,HER2-enriched,270.60781206896553
HPX,HER2-enriched,509.9059931034483
HSD17B6,HER2-enriched,128.92066379310344
HYAL3,Basal-like,124.09597731958763
IBSP,HER2-enriched,90.86123103448276
ICOS,Basal-like,89.06387422680412
IER3,Normal-like,4110.51285
IER5L,Normal-like,787.3819374999999
IFITM1,Luminal B,6760.494030708662
IGFBPL1,Basal-like,16.235443298969074
IGFL2,HER2-enriched,42.85511034482759
IGFL3,HER2-enriched,6.277353448275862
IL12B,Normal-like,11.1557375
IL21R,Basal-like,180.77531958762887
IL4I1,Basal-like,434.43075876288657
IL9R,HER2-enriched,10.256127586206896
INHBA,HER2-enriched,524.2155
INSM1,Luminal B,450.29582047244094
INTS7,HER2-enriched,1097.2665206896552
IQGAP3,Basal-like,1537.9119762886598
IRF7,HER2-enriched,897.7559586206896
ISG15,Normal-like,4264.9596125
ISG20,HER2-enriched,549.7686206896552
ITGA11,HER2-enriched,1986.8922896551724
KCNJ6,Basal-like,9.831232989690722
KCNK1,HER2-enriched,939.4959982758621
KDELR3,HER2-enriched,1312.0395603448276
KIAA0319,HER2-enriched,55.34186551724138
KIF11,Basal-like,1491.1213072164949
KIF14,Basal-like,555.6057711340206
KIF15,Basal-like,480.96591237113404
KIF18B,Basal-like,508.24563711340204
KIF20A,Basal-like,1259.345230927835
KIF23,Basal-like,1063.356950515464
KIF24,HER2-enriched,264.5569396551724
KIF26B,Luminal A,424.94184805194806
KIF2C,Basal-like,1371.7371721649486
KIF4A,Basal-like,1102.699681443299
KIFC1,Basal-like,1437.124081443299
KIFC2,Normal-like,1288.8354625
KLRG2,HER2-enriched,138.0827327586207
KMO,HER2-enriched,691.448798275862
KNTC1,Luminal B,831.7467488188977
KPNA2,HER2-enriched,5677.904029310344
LAG3,Basal-like,252.91721443298968
LAGE3,HER2-enriched,800.4339327586207
LAMP3,Basal-like,941.1715865979381
LEF1,Luminal A,668.0480670995671
LIMD2,HER2-enriched,702.1343551724138
LINGO1,Luminal B,688.210211023622
LMNB1,Basal-like,2064.1457783505157
LMNB2,Basal-like,2491.721731958763
LOXL1,Luminal A,1375.7244125541126
LPAR2,HER2-enriched,587.5180034482759
LPCAT1,HER2-enriched,2555.595981034483
LRP8,Basal-like,514.4805742268042
LRRC15,Luminal A,4174.6235995670995
LRRC59,HER2-enriched,8416.506068965517
LRWD1,Basal-like,398.3099360824742
LTA,Basal-like,36.043754639175255
LYPD1,Basal-like,126.84608144329897
MAD2L1,Basal-like,796.7747020618557
MAGED1,HER2-enriched,8743.338615517241
MAL2,HER2-enriched,10653.87989137931
MATN3,Luminal A,760.1745558441559
MCM10,Basal-like,712.738124742268
MCM2,Basal-like,2551.8099154639176
MELK,Basal-like,973.2360020618556
METRN,Normal-like,1617.38615
MFAP2,Basal-like,1529.131198969072
MICAL2,Luminal A,2822.2607735930737
MICALL2,Normal-like,448.19545
MICB,Luminal B,273.3541771653543
MKI67,Basal-like,4448.011655670103
MMP1,HER2-enriched,2001.4547586206895
MMP11,HER2-enriched,11455.506684482758
MMP13,HER2-enriched,1012.5821448275861
MMP14,HER2-enriched,10772.660610344828
MMP9,Normal-like,6164.0950375
MND1,Basal-like,151.28445360824742
MNX1,HER2-enriched,54.99639655172414
MSLN,Basal-like,2679.538254639175
MTHFD2,Basal-like,3178.7061216494844
MUC1,Luminal A,15382.942191341992
MXD3,Normal-like,312.7696125
MXRA5,Luminal A,10454.09405021645
MYBL1,Basal-like,785.9751680412371
MYBL2,Basal-like,2733.0844804123712
NACC1,HER2-enriched,2696.760194827586
NCAPG,Basal-like,949.1447659793814
NCAPG2,Basal-like,1264.9329422680412
NCAPH,Basal-like,670.0096216494845
NDC80,Basal-like,774.9839494845361
NEIL3,Basal-like,128.3862381443299
NEK2,Basal-like,853.8291257731959
NFE2L3,Basal-like,1652.622475257732
NKX2-5,Basal-like,52.01046494845361
NKX3-2,HER2-enriched,38.752777586206896
NME1,HER2-enriched,4469.705748275862
NOD2,Normal-like,313.4702875
NPTX2,Basal-like,153.80621340206184
NUAK2,Luminal B,300.90092283464566
NUDT1,Normal-like,393.91085
NUF2,Basal-like,750.6682536082475
NUP210,Basal-like,3755.7220917525774
NXPH4,HER2-enriched,401.5913068965517
OAS2,HER2-enriched,3433.5725724137933
OAS3,Luminal B,4188.46996535433
OASL,Basal-like,653.4318907216494
OIP5,Basal-like,144.75929690721648
OLFML2B,Luminal A,1774.0972718614719
ONECUT2,HER2-enriched,207.59590862068967
OSCAR,Normal-like,205.5817375
OTX1,Basal-like,125.05015979381443
P2RY6,Normal-like,240.301
P4HA3,Luminal A,243.41028744588743
PACSIN1,Luminal B,145.18752913385828
PAFAH1B3,Normal-like,1997.2793625
PAQR4,HER2-enriched,1885.3452224137932
PARP1,Basal-like,7569.358683505155
PARP10,Luminal B,2083.513077952756
PASK,Luminal B,378.60268661417325
PAX1,Basal-like,56.40260721649484
PBK,Basal-like,518.5274979381443
PCDH17,HER2-enriched,275.9152603448276
PDCD1,Basal-like,66.3109381443299
PDIA4,Basal-like,7525.845260824743
PGP,Luminal B,541.7835968503937
PIF1,Basal-like,99.18335670103093
PITX1,HER2-enriched,926.9234086206897
PKMYT1,Basal-like,563.3494804123711
PLAU,HER2-enriched,2791.68975
PLAUR,Basal-like,1104.598913402062
PLEK2,HER2-enriched,232.15371379310346
PLK1,Basal-like,1330.7916443298968
PLK4,Basal-like,390.9506092783505
PLXNA3,HER2-enriched,1428.0791155172415
PMAIP1,Luminal B,494.6265968503937
POC1A,Luminal B,330.2340527559055
POLQ,Basal-like,290.26720515463916
POSTN,Luminal A,30493.97038008658
PPP1R14B,Normal-like,3172.5759625
PRAME,Basal-like,1349.5367092783506
PRC1,Basal-like,2248.3702484536084
PRR11,Luminal B,392.69301102362203
PSMD3,HER2-enriched,16663.41811551724
PSME2,Normal-like,3768.3011125000003
PTK6,HER2-enriched,520.7204517241379
PTTG1,Basal-like,896.8570742268041
PYCARD,Luminal A,1020.8833155844156
PYCR1,HER2-enriched,3907.84340862069
RAB31,Luminal A,5471.180357575758
RACGAP1,Luminal B,1537.0353803149605
RAD51,Basal-like,329.53639896907214
RAD51AP1,Basal-like,595.1146443298969
RAD54B,Basal-like,305.10301958762886
RASGRP1,Luminal B,531.405537007874
RCC1,Basal-like,1559.9991030927836
RCC2,Basal-like,7458.276525773196
RDM1,Luminal B,24.578931496062992
RECQL4,Normal-like,900.5978375
RELL2,Luminal B,71.59567401574803
RGS4,HER2-enriched,301.6607275862069
RMI1,Luminal B,564.9966606299213
RNASEH2A,Basal-like,891.1430927835052
RND1,HER2-enriched,636.4849275862069
RNFT2,Basal-like,196.83801958762888
RPLP0P2,Normal-like,87.936675
RRM2,HER2-enriched,2297.1289689655173
RSAD2,Basal-like,1301.5294010309278
RTKN2,Basal-like,355.7956762886598
RUFY4,Basal-like,31.199740206185567
RUNX2,Luminal A,440.24141082251083
RUSC1,HER2-enriched,1717.4266413793102
S100A11,Basal-like,17147.843253608247
S100P,HER2-enriched,1856.3779086206896
SALL4,HER2-enriched,51.793225862068965
SAMD1,Basal-like,427.4814824742268
SAMD14,Luminal B,31.5324
SBK1,HER2-enriched,1206.7450396551724
SCIN,Luminal A,444.01614415584413
SCUBE3,Basal-like,495.77816082474226
SDC1,HER2-enriched,14082.11038448276
SDS,HER2-enriched,273.26807931034483
SDSL,Luminal A,333.4072233766234
SEMA3F,Luminal B,2792.0390236220474
SEMA7A,Basal-like,267.43594329896905
SEPHS2,Luminal B,3997.603444094488
SERPINB7,Basal-like,164.5447969072165
SH2D2A,Basal-like,170.26158762886598
SHCBP1,HER2-enriched,419.3754482758621
SIM2,Basal-like,339.63740103092783
SIX2,HER2-enriched,313.8607827586207
SIX4,Luminal B,732.9141897637795
SKA1,Basal-like,409.1562463917526
SKA3,Basal-like,447.8021804123711
SLAMF8,Normal-like,837.460325
SLC12A8,Basal-like,626.5936092783505
SLC16A3,HER2-enriched,1181.3464344827587
SLC20A1,Luminal B,1848.2559842519686
SLC24A2,Luminal A,30.37615064935065
SLC25A39,Normal-like,3633.303825
SLC27A4,Luminal B,1297.6259551181101
SLC2A6,Basal-like,254.4357381443299
SLC35A2,HER2-enriched,1510.3753344827587
SLC38A5,Basal-like,254.92898144329897
SLC39A11,Normal-like,2530.8284625
SLC39A4,Normal-like,1855.8222250000001
SLC5A8,Basal-like,127.42587113402062
SLC7A5,Basal-like,7511.497587628866
SMC4,Basal-like,3398.3994144329895
SOX11,HER2-enriched,1267.8208172413792
SPAG5,HER2-enriched,1481.7938086206896
SPC24,Basal-like,45.48470515463917
SPC25,Basal-like,224.8412587628866
SPOCD1,Luminal B,126.8864188976378
SPP1,Normal-like,9140.326225
SQLE,HER2-enriched,3416.1848999999997
SRD5A2,Basal-like,22.86928969072165
SRMS,HER2-enriched,65.61092413793104
ST6GAL2,Luminal A,321.4358350649351
STARD3,HER2-enriched,5525.570203448276
STAT1,Basal-like,10974.392421649485
STIL,Basal-like,766.5062917525773
STMN1,Basal-like,9699.836807216494
STX1A,HER2-enriched,215.42201896551725
SULF1,HER2-enriched,8137.613781034483
SULF2,Normal-like,10885.1982125
SYCP2,Luminal B,1090.3986322834646
SYNGR2,Normal-like,7945.324425
SYNGR3,Normal-like,120.61077499999999
SYT1,Luminal A,968.0782757575757
TACC3,Basal-like,1468.2281051546393
TAP1,Basal-like,6527.63576185567
TBX20,Luminal B,6.96804409448819
TCF19,Basal-like,1198.724325773196
TDRKH,Basal-like,796.143475257732
TFR2,Basal-like,104.27017113402061
TFRC,Basal-like,5277.017335051546
TG,Basal-like,14.435105154639174
THBS2,Luminal A,9380.142565800867
TIGIT,Normal-like,193.278275
TIMELESS,Luminal B,1611.8579409448819
TK1,Luminal B,2048.1138488188976
TLCD1,HER2-enriched,420.9260275862069
TMEM132A,HER2-enriched,3585.2797620689657
TMEM171,Normal-like,36.779125
TMEM92,HER2-enriched,54.00821724137931
TMEM97,Luminal B,1299.4970275590551
TNFRSF4,Normal-like,78.6784875
TNFRSF9,Basal-like,41.23838144329897
TNFSF4,Luminal B,187.3286779527559
TOP2A,HER2-enriched,6187.462781034483
TPRN,Luminal A,912.2896722943723
TPX2,Basal-like,3703.167157731959
TRIM59,Basal-like,486.7192587628866
TRIP13,Basal-like,900.2447216494845
TROAP,Basal-like,458.91667113402065
TTK,Basal-like,833.5141463917525
TTYH3,Basal-like,3535.8506154639176
TUBA1C,Basal-like,6672.28546185567
TUBB3,Basal-like,2315.253907216495
TUBG1,Luminal B,1416.0053456692913
TUFT1,Luminal B,1474.5431322834645
TYMP,HER2-enriched,2212.650981034483
TYMS,Basal-like,1530.039919587629
TYRP1,Luminal A,93.58505108225108
UBE2C,Normal-like,1681.1272000000001
UBE2L6,Luminal B,2912.8420196850393
UBE2S,Basal-like,835.2837948453608
UBE2T,Basal-like,813.321912371134
UHRF1,Luminal B,717.2533275590552
ULBP1,Basal-like,94.93856907216495
ULBP2,Basal-like,64.77048762886598
UNC5B,Luminal A,1948.4853562770563
USP35,Luminal B,353.03628188976376
VCAN,Luminal A,11729.090236796537
WDHD1,Basal-like,501.8364206185567
WDR76,Luminal B,398.0361283464567
WT1,Luminal B,181.26513385826772
XRCC2,Basal-like,176.23669381443298
ZBED2,Basal-like,41.33387422680413
ZBP1,Basal-like,114.80352886597939
ZIC1,Basal-like,280.4626773195876
ZIC2,Luminal B,71.28541417322835
ZNF367,Luminal B,351.98554960629923
ZNF469,Basal-like,832.6886896907216
ZNF668,Normal-like,331.4961125
ZNF695,Basal-like,197.52017422680413
ZWINT,HER2-enriched,1351.6956844827587
