"symbol","HR","HR_lower","HR_upper","pvalue","padj"
"GINS1",1.00044219971954,0.999935146962559,1.0009495095957,0.0874092163102629,0.465970452916036
"MMP14",1.00001818705528,0.999997311246706,1.00003906329965,0.0877248676295381,0.465970452916036
"CENPO",1.00132730241689,0.999803021978894,1.00285390674349,0.087912073069446,0.465970452916036
"ISG20",0.99955102191704,0.999035598948304,1.00006671080306,0.0879196645870556,0.465970452916036
"RECQL4",1.00022661893982,0.999965994809328,1.00048731099757,0.0883424642014737,0.465970452916036
"HOXC10",1.00016073912964,0.999975832983029,1.00034567946737,0.0884224951599746,0.465970452916036
"ADAMTS20",1.00921877170272,0.99859840310696,1.01995209083871,0.0891098874102379,0.465970452916036
"KCNK1",1.00020880678851,0.999964213855293,1.00045345954956,0.0942931065639376,0.483886750478843
"HSD17B6",1.00144366721517,0.999751880927956,1.00313831635355,0.0944639473046347,0.483886750478843
"BRCA2",1.00075123453006,0.999857805351657,1.00164546203767,0.0993718134499197,0.503885357089492
"BRCA1",1.00036552161004,0.99992609196482,1.00080514436795,0.103047449560944,0.51366600704503
"ANLN",1.00010396186779,0.99997590426681,1.0002320358679,0.111575453344591,0.51366600704503
"SLC12A8",1.00051874287704,0.999879199012431,1.00115869580741,0.111911940593154,0.51366600704503
"HOXC12",1.00687943655386,0.998385855556357,1.01544527510366,0.11269242355821,0.51366600704503
"GPR141",1.00324779890462,0.99922616925637,1.00728561458315,0.113599123696991,0.51366600704503
"SIX2",1.00028104178206,0.999932867985431,1.00062933681182,0.113648038750587,0.51366600704503
"PMAIP1",0.999634454647879,0.999180174165652,1.00008894167019,0.114916295150125,0.51366600704503
"RELL2",1.00169775342706,0.999587190656307,1.00381277251262,0.114960086463052,0.51366600704503
"BUB1B",1.00033276009639,0.9999185724212,1.00074711933699,0.115353632830364,0.51366600704503
"MMP11",1.00001188131706,0.99999705322301,1.00002670963099,0.116308279992263,0.51366600704503
"FANCD2",1.00025439590158,0.999936863291267,1.00057202934522,0.116367593093804,0.51366600704503
"SLAMF8",0.999685520870442,0.999291110442164,1.00008008696866,0.118240109670237,0.51366600704503
"ULBP1",1.00151094441851,0.999610752762061,1.00341474820931,0.119193109237233,0.51366600704503
"ARHGAP11A",1.00027630052721,0.999928650073408,1.00062407185048,0.11931485136837,0.51366600704503
"TMEM92",1.00183762042433,0.999519819031861,1.00416079660097,0.120293342282483,0.51366600704503
"MICALL2",0.999550004599911,0.998982558517816,1.00011777300501,0.120304360211367,0.51366600704503
"COL10A1",1.00003334492628,0.999991273407658,1.00007541821492,0.120323787189148,0.51366600704503
"CTSD",0.999994598779711,0.999987783962366,1.0000014136435,0.12032776706623,0.51366600704503
"SEMA3F",0.999885367591353,0.999740540129729,1.00003021603341,0.120870495185835,0.51366600704503
"DPP3",1.00008649428961,0.999976928668692,1.00019607191543,0.121806647490125,0.51366600704503
"MAGED1",1.00003403453,0.99999080792796,1.0000772630006,0.122788686943035,0.51366600704503
"KIF4A",1.00023600311442,0.999934209214359,1.00053788810003,0.125363774746715,0.51698501408693
"ICOS",0.998042375355038,0.995542687358412,1.00054833976769,0.125641776331883,0.51698501408693
"DIAPH3",1.0004303036223,0.999877953598794,1.00098295877359,0.126810696148015,0.517521768479728
"SEPHS2",1.00006061263927,0.999982594878213,1.0001386364872,0.127834062333638,0.517521768479728
"HYAL3",0.998161073159631,0.995789761581476,1.00053803163115,0.129335295999916,0.519410548735663
"RCC2",0.999933409893589,0.999847065660638,1.00001976158301,0.130676082566671,0.520630106733879
"CCNE2",1.00027538349638,0.99991696928688,1.0006339261773,0.132104759881038,0.522177869765992
"MICB",0.999221375429884,0.998198046297251,1.00024575365545,0.136239613019502,0.523081858361541
"HMGB3",1.00006217010474,0.999978978492773,1.0001453686377,0.143005634776113,0.523081858361541
