symbol,ENSG_base,log2FC_P1,padj_P1,log2FC_P2,padj_P2,mean_log2FC,min_padj
SYNDIG1,ENSG00000101463,3.246535323,2.37e-19,3.678171492,1.66726e-4,3.462,2.37e-19
HOXC13,ENSG00000123364,3.19132528,2.41e-17,3.67896104,2.23e-5,3.435,2.41e-17
KCNJ6,ENSG00000157542,1.63308081,6.00243e-4,5.190233075,1.43e-12,3.412,1.43e-12
IL21R,ENSG00000103522,2.105835164,3.31e-8,4.712287783,1.36e-14,3.409,1.36e-14
ASPM,ENSG00000066279,3.249943758,2.57e-27,3.566282754,7.54e-12,3.408,2.57e-27
KIF26B,ENSG00000162849,3.46955543,9.999999999999999e-32,3.343981641,1.18e-12,3.407,9.999999999999999e-32
KIF20A,ENSG00000112984,3.426247771,4.619999999999999e-31,3.337253103,7.19e-9,3.382,4.619999999999999e-31
H1-6,ENSG00000187475,2.625579173,7.66e-6,4.138836662,0.044572397,3.382,7.66e-6
DTL,ENSG00000143476,3.149778924,1.0799999999999998e-37,3.600266246,7.24e-18,3.375,1.0799999999999998e-37
ADAMTS14,ENSG00000138316,3.486927475,3.0099999999999997e-25,3.243368022,1.59e-5,3.365,3.0099999999999997e-25
BUB1,ENSG00000169679,3.255204912,1.2100000000000001e-29,3.454982718,9.88e-10,3.355,1.2100000000000001e-29
SPP1,ENSG00000118785,2.02373506,1.66e-7,4.658916158,1.03e-7,3.341,1.03e-7
FOXD3,ENSG00000187140,2.004362606,8.73e-5,4.66218099,0.002562913,3.333,8.73e-5
E2F7,ENSG00000165891,2.855230229,6.79e-25,3.792993467,4.23e-14,3.324,6.79e-25
IQGAP3,ENSG00000183856,3.531100027,5.3e-39,3.097951357,5.67e-11,3.315,5.3e-39
KIAA0319,ENSG00000137261,3.449087005,9.32e-16,3.181181466,0.028477507,3.315,9.32e-16
HMX3,ENSG00000188620,2.954388906,2.24e-5,3.649661145,0.034857152,3.302,2.24e-5
CEP55,ENSG00000138180,3.311986756,1.1599999999999999e-34,3.276011589,2.49e-6,3.294,1.1599999999999999e-34
BMP8A,ENSG00000183682,3.031494761,1.68e-34,3.553144879,6.54e-30,3.292,1.68e-34
PLK1,ENSG00000166851,3.245319037,6.67e-34,3.326912049,6.84e-8,3.286,6.67e-34
BGN,ENSG00000182492,2.528568729,1.3800000000000001e-22,4.036539784,9.32e-6,3.283,1.3800000000000001e-22
TPX2,ENSG00000088325,3.344043521,1.96e-40,3.20346057,6.37e-7,3.274,1.96e-40
RRM2,ENSG00000171848,3.116124415,1.3e-20,3.42755294,1.54e-7,3.272,1.3e-20
KIF14,ENSG00000118193,3.483417049,2.82e-28,3.042522966,3.85e-7,3.263,2.82e-28
SOX11,ENSG00000176887,2.900725887,3.17e-9,3.610605428,3.33e-10,3.256,3.33e-10
ISG15,ENSG00000187608,3.750884834,8.92e-19,2.736317459,0.007960678,3.244,8.92e-19
HNRNPA1P21,ENSG00000228168,2.589826086,9.26e-13,3.892007412,3.39e-5,3.241,9.26e-13
ADAMDEC1,ENSG00000134028,1.498303818,0.00303616,4.978919494,6.26e-7,3.239,6.26e-7
DLGAP5,ENSG00000126787,3.189823789,1.19e-28,3.273391475,3.11e-6,3.232,1.19e-28
SIM2,ENSG00000159263,2.088018996,4.28163e-4,4.373412785,0.003165566,3.231,4.28163e-4
PKMYT1,ENSG00000127564,3.83532865,2.36e-32,2.614138619,0.001771625,3.225,2.36e-32
CLSPN,ENSG00000092853,2.710979523,6.5e-25,3.732073732,5.92e-13,3.222,6.5e-25
MATN3,ENSG00000132031,3.201564393,1.55e-19,3.243065554,5.61e-5,3.222,1.55e-19
EDN2,ENSG00000127129,2.780480022,4.57e-13,3.634469089,1.8658e-4,3.207,4.57e-13
CELSR3,ENSG00000008300,2.600552393,4.86e-17,3.807211389,5.79e-9,3.204,4.86e-17
CDC20,ENSG00000117399,3.354155131,1.2900000000000002e-27,3.013576984,3.13518e-4,3.184,1.2900000000000002e-27
CCDC78,ENSG00000162004,3.560568701,5.55e-20,2.784151974,0.014591812,3.172,5.55e-20
LINC01943,ENSG00000280721,2.050366498,2.22e-11,4.293095227,1.49091e-4,3.172,2.22e-11
CENPF,ENSG00000117724,3.098174573,1.43e-36,3.225965763,3.83e-12,3.162,1.43e-36
HJURP,ENSG00000123485,3.419101366,2.41e-32,2.903411427,2.7e-5,3.161,2.41e-32
SPAG5,ENSG00000076382,2.986701695,3.13e-33,3.323652579,5.14e-9,3.155,3.13e-33
SYNGR3,ENSG00000127561,3.787348732,1.88e-21,2.519818757,0.016947022,3.154,1.88e-21
DEPDC1,ENSG00000024526,2.783184479,3.75e-24,3.51090974,2.98e-7,3.147,3.75e-24
IL12B,ENSG00000113302,1.084038285,0.019358395,5.182161256,0.003145519,3.133,0.003145519
H2AC17,ENSG00000278677,3.663635591,1.24e-9,2.581234093,2.21e-5,3.122,1.24e-9
INSM1,ENSG00000173404,3.461029141,1.32e-9,2.783152986,0.039171763,3.122,1.32e-9
MMP9,ENSG00000100985,2.851067752,2.63e-9,3.386832267,0.023333144,3.119,2.63e-9
FUT7,ENSG00000180549,1.086829476,0.01063525,5.131079474,1.29794e-4,3.109,1.29794e-4
FOXM1,ENSG00000111206,3.327444326,3.34e-33,2.866539733,8.6700000000000007e-05,3.097,3.34e-33
CFAP47,ENSG00000165164,2.396696891,7.12e-9,3.793048718,0.00169106,3.095,7.12e-9
SHCBP1,ENSG00000171241,2.553921485,7.53e-26,3.620696004,3.25e-7,3.087,7.53e-26
IL4I1,ENSG00000104951,2.634589759,2.13e-13,3.52342309,7.33e-8,3.079,2.13e-13
LINC01788,ENSG00000229051,1.453739849,0.004417794,4.694380097,0.041040598,3.074,0.004417794
SYT1,ENSG00000067715,2.612174284,3.24e-10,3.51990847,0.009125224,3.066,3.24e-10
LINC01429,ENSG00000227964,3.414251372,2.77e-14,2.688364787,0.008430388,3.051,2.77e-14
UBE2T,ENSG00000077152,3.040394779,1.22e-36,3.044372688,4.62e-13,3.042,1.22e-36
MKI67,ENSG00000148773,2.813808749,1.01e-18,3.269423062,9.18e-6,3.042,1.01e-18
FAM83D,ENSG00000101447,3.002257858,3.31e-29,3.079864453,2.11e-6,3.041,3.31e-29
KIF2C,ENSG00000142945,3.106196094,7.069999999999999e-31,2.966332316,6.37e-7,3.036,7.069999999999999e-31
NCAPH,ENSG00000121152,2.791900437,9.740000000000001e-27,3.262910275,3.61e-9,3.027,9.740000000000001e-27
SCUBE3,ENSG00000146197,3.114170995,2.97e-16,2.935459311,0.012943075,3.025,2.97e-16
CDK1,ENSG00000170312,3.072369351,6.46e-38,2.964913702,3.33e-6,3.019,6.46e-38
SIX2,ENSG00000170577,1.714194474,7.36e-6,4.31939258,1.21e-5,3.017,7.36e-6
PIMREG,ENSG00000129195,2.920824513,3.3700000000000003e-22,3.110885499,0.00674996,3.016,3.3700000000000003e-22
ASF1B,ENSG00000105011,3.057040837,4.03e-38,2.972495123,5.34e-13,3.015,4.03e-38
H3C2,ENSG00000286522,3.355245583,1.51e-8,2.666017471,0.00123173,3.011,1.51e-8
HOTAIR,ENSG00000228630,2.643387598,7.73e-8,3.371986258,0.005451803,3.008,7.73e-8
GPRIN1,ENSG00000169258,2.984051251,3.3299999999999997e-35,3.000562294,8.67e-9,2.992,3.3299999999999997e-35
GPR84,ENSG00000139572,1.626455648,4.39e-8,4.348568714,7.92e-5,2.988,4.39e-8
TROAP,ENSG00000135451,3.554865255,3.73e-33,2.409274729,0.001821206,2.982,3.73e-33
CATIP,ENSG00000158428,1.686086609,2.44448e-4,4.264839789,0.04373695,2.975,2.44448e-4
TFR2,ENSG00000106327,3.083076975,6.39e-16,2.864344631,0.007072155,2.974,6.39e-16
ACAN,ENSG00000157766,2.690935617,5.68e-10,3.256627919,0.049068405,2.974,5.68e-10
H2AC14,ENSG00000276368,3.258861462,6.68e-8,2.685459696,3.1e-6,2.972,6.68e-8
KIF18B,ENSG00000186185,3.11102888,3.2999999999999996e-23,2.825190964,1.42e-5,2.968,3.2999999999999996e-23
GPR31,ENSG00000120436,1.241649657,1.20464e-4,4.671350729,0.011543958,2.957,1.20464e-4
TMEM92,ENSG00000167105,2.694739367,2.32e-12,3.216944531,0.044275477,2.956,2.32e-12
TMEM171,ENSG00000157111,1.457155058,2.66e-5,4.455668745,0.036380739,2.956,2.66e-5
AURKB,ENSG00000178999,3.079699588,5.3199999999999996e-24,2.825256488,2.51e-5,2.952,5.3199999999999996e-24
P4HA3,ENSG00000149380,2.723925568,5.77e-20,3.164256927,1.77094e-4,2.944,5.77e-20
LAMP5,ENSG00000125869,2.810118406,5.79e-14,3.063923103,4.29e-7,2.937,5.79e-14
SPC24,ENSG00000161888,2.961637372,1.3099999999999999e-37,2.88847383,6.54488e-4,2.925,1.3099999999999999e-37
PRR11,ENSG00000068489,2.85970319,2.69e-20,2.982878549,0.003650486,2.921,2.69e-20
COL1A1,ENSG00000108821,2.893191525,7.58e-16,2.926925459,2.14e-5,2.91,7.58e-16
FNDC1-IT1,ENSG00000235086,2.220981912,2.71e-5,3.588914204,0.04655533,2.905,2.71e-5
H2BC13,ENSG00000185130,3.029340437,3.24e-11,2.746161918,2.95e-8,2.888,3.24e-11
ACTG1P25,ENSG00000234996,2.658257494,1.11e-27,3.115204061,0.029086533,2.887,1.11e-27
IL9R,ENSG00000124334,2.073892947,6.5e-8,3.683337134,9.12e-8,2.879,6.5e-8
CD80,ENSG00000121594,1.746188311,8.53e-8,4.007154426,1.72e-9,2.877,1.72e-9
RPLP0P2,ENSG00000243742,2.882388446,4.1e-36,2.838850997,1.40354e-4,2.861,4.1e-36
TICRR,ENSG00000140534,2.050948485,1.94e-19,3.667157451,9.15e-20,2.859,9.15e-20
TEDC2,ENSG00000162062,2.90300684,3.63e-32,2.797723356,2.4e-5,2.85,3.63e-32
CCNE2,ENSG00000175305,2.520770529,8.9e-26,3.178949723,5.28e-21,2.85,8.9e-26
ZIC2,ENSG00000043355,2.984322847,2e-10,2.7071411,0.006669303,2.846,2e-10
COL22A1,ENSG00000169436,2.233762705,4.72e-7,3.438833003,0.004075001,2.836,4.72e-7
CDCA5,ENSG00000146670,2.989565536,8.16e-36,2.673759363,3.1e-6,2.832,8.16e-36
CDC45,ENSG00000093009,2.728480935,1.19e-20,2.934971851,1.21e-5,2.832,1.19e-20
NEIL3,ENSG00000109674,3.223840815,1.75e-23,2.414697809,0.005537686,2.819,1.75e-23
GABRD,ENSG00000187730,3.962257145,4.7699999999999996e-52,1.671512716,0.029922587,2.817,4.7699999999999996e-52
C3orf80,ENSG00000180044,2.231230541,7.46e-19,3.399411625,4.04e-5,2.815,7.46e-19
SKA3,ENSG00000165480,3.116909623,4.26e-32,2.504172459,3.48844e-4,2.811,4.26e-32
NCAPG,ENSG00000109805,2.591626917,4.6899999999999994e-23,3.029258083,1.11e-15,2.81,4.6899999999999994e-23
EME1,ENSG00000154920,2.679660539,2.5100000000000004e-27,2.934927799,5.36e-6,2.807,2.5100000000000004e-27
FAM111B,ENSG00000189057,2.861340533,3.76e-16,2.751341124,9.74e-10,2.806,3.76e-16
AURKA,ENSG00000087586,2.991433936,1.1799999999999999e-31,2.614031526,3.1e-6,2.803,1.1799999999999999e-31
PBK,ENSG00000168078,3.269270968,2.3800000000000002e-27,2.334676592,0.011246365,2.802,2.3800000000000002e-27
CENPA,ENSG00000115163,2.886294673,7.11e-27,2.708704443,2.04015e-4,2.797,7.11e-27
CFAP45,ENSG00000213085,3.062881482,2.9e-24,2.531656448,0.008542379,2.797,2.9e-24
TRDV2,ENSG00000211821,1.942367278,2.56471e-4,3.627017553,0.04538962,2.785,2.56471e-4
PCLAF,ENSG00000166803,2.974278619,7.860000000000001e-26,2.579475624,1.67e-7,2.777,7.860000000000001e-26
RUFY4,ENSG00000188282,2.132166007,1.77e-6,3.421782914,2.64e-6,2.777,1.77e-6
FNDC1,ENSG00000164694,2.161179368,4.48e-7,3.38155569,4.23105e-4,2.771,4.48e-7
MTFR2,ENSG00000146410,2.801817405,1.4299999999999999e-30,2.736800554,1.77441e-4,2.769,1.4299999999999999e-30
ERCC6L,ENSG00000186871,2.7975742,1.03e-32,2.734090883,6.51e-7,2.766,1.03e-32
H3C8,ENSG00000273983,2.520746348,1.47e-7,3.009852261,0.001850406,2.765,1.47e-7
IGFBPL1,ENSG00000137142,3.04489544,2.12e-18,2.465945604,0.015294014,2.755,2.12e-18
TLCD1,ENSG00000160606,2.627759986,3.07e-26,2.869979859,7.81e-5,2.749,3.07e-26
SALL4,ENSG00000101115,3.315502639,3.48e-33,2.176073926,8.52e-5,2.746,3.48e-33
FOXP3,ENSG00000049768,2.070165018,2.04e-11,3.377199843,1.24e-12,2.724,1.24e-12
PTTG1,ENSG00000164611,2.9312679,8.73e-34,2.512941664,1.28e-5,2.722,8.73e-34
ASIC3,ENSG00000213199,1.562845198,2.54e-7,3.875995742,7.81e-5,2.719,2.54e-7
CDCA8,ENSG00000134690,2.847131668,3.6899999999999996e-32,2.58629719,2.66e-8,2.717,3.6899999999999996e-32
TK1,ENSG00000167900,2.653493558,6.7e-24,2.775175812,1.69e-6,2.714,6.7e-24
SGO1,ENSG00000129810,3.150416776,1.4599999999999999e-30,2.27287577,5.63e-6,2.712,1.4599999999999999e-30
ZNF695,ENSG00000197472,2.642047699,6.69e-19,2.778817885,4.96e-5,2.71,6.69e-19
LINC02257,ENSG00000238042,2.039879649,1.55e-5,3.37559843,0.00781765,2.708,1.55e-5
COL5A1,ENSG00000130635,2.31461704,9.2e-19,3.074408758,1.02e-6,2.695,9.2e-19
TRIP13,ENSG00000071539,2.313489714,1.84e-26,3.07174371,2.45e-6,2.693,1.84e-26
SULF1,ENSG00000137573,2.180325033,2.75e-19,3.199367001,4.62e-10,2.69,2.75e-19
AUNIP,ENSG00000127423,2.160803277,2.1e-32,3.214530344,9.49e-5,2.688,2.1e-32
LYPD1,ENSG00000150551,1.668451502,1.54e-8,3.694260832,9.67155e-4,2.681,1.54e-8
CTHRC1,ENSG00000164932,2.711264593,2.5e-25,2.646923295,0.001827482,2.679,2.5e-25
H2BC9,ENSG00000275713,3.137902084,1.61e-13,2.220551179,2.85407e-4,2.679,1.61e-13
CNGA3,ENSG00000144191,1.95897016,1.26624e-4,3.399483558,0.014485212,2.679,1.26624e-4
KIFC1,ENSG00000237649,3.119384776,9.450000000000001e-33,2.197225855,6.45e-5,2.658,9.450000000000001e-33
DEPDC1B,ENSG00000035499,2.672732594,1.5e-19,2.643898937,2.25e-7,2.658,1.5e-19
ADAM8,ENSG00000151651,2.077422918,8e-14,3.238633401,2.58e-6,2.658,8e-14
CCNE1,ENSG00000105173,1.862533475,6.82e-16,3.42347077,1.45e-5,2.643,6.82e-16
MCM10,ENSG00000065328,2.541066621,1.1e-21,2.741462981,1.13e-6,2.641,1.1e-21
TTK,ENSG00000112742,2.657624892,1.19e-23,2.597356489,4.59e-7,2.627,1.19e-23
ZIC1,ENSG00000152977,1.605228947,0.006155489,3.644172917,0.032450315,2.625,0.006155489
TNFRSF9,ENSG00000049249,1.986406522,2.62e-7,3.259913677,2.66e-8,2.623,2.66e-8
GTSE1,ENSG00000075218,2.524649517,1.6700000000000002e-26,2.710353172,7.65e-5,2.618,1.6700000000000002e-26
ESPL1,ENSG00000135476,2.615771278,1.88e-24,2.611050485,2.54e-7,2.613,1.88e-24
RAD51,ENSG00000051180,2.485232478,1.0999999999999998e-31,2.738438633,2.54e-6,2.612,1.0999999999999998e-31
GBP5,ENSG00000154451,2.033823302,2.49e-9,3.18691956,3.16e-24,2.61,3.16e-24
BUB1B,ENSG00000156970,2.794120903,3.61e-24,2.424548923,9.65383e-4,2.609,3.61e-24
RECQL4,ENSG00000160957,2.491291479,1.26e-23,2.705344407,8.95e-5,2.598,1.26e-23
COL5A2,ENSG00000204262,2.177840146,1.07e-15,3.015532854,2.33e-6,2.597,1.07e-15
LINC00511,ENSG00000227036,1.947710571,8.7e-10,3.241540603,3.42e-5,2.595,8.7e-10
H2AC16,ENSG00000276903,2.030724015,6.7534e-4,3.157410758,2.42e-6,2.594,2.42e-6
HMMR,ENSG00000072571,2.701741767,2.2999999999999998e-23,2.481068104,0.001626158,2.591,2.2999999999999998e-23
LINGO1,ENSG00000169783,2.626630201,7.64e-15,2.547052362,7.6701e-4,2.587,7.64e-15
CBX2,ENSG00000173894,2.95284106,2.35e-20,2.219862262,0.024143893,2.586,2.35e-20
CATSPER1,ENSG00000175294,1.43964266,1.01e-7,3.721588524,0.019161629,2.581,1.01e-7
OLFML2B,ENSG00000162745,1.424127786,4.15e-9,3.728733858,7.42891e-4,2.576,4.15e-9
ERBB2,ENSG00000141736,2.827058434,1.66e-13,2.311020602,0.031274057,2.569,1.66e-13
CDC25C,ENSG00000158402,3.227260826,4.51e-30,1.904027093,0.02847843,2.566,4.51e-30
C1QTNF6,ENSG00000133466,2.499808926,4.41e-34,2.623597251,5.45e-7,2.562,4.41e-34
HAGHL,ENSG00000103253,3.062737259,4.75e-25,2.052743916,0.021233482,2.558,4.75e-25
ARTN,ENSG00000117407,2.483903725,1.58e-14,2.626752435,0.007317305,2.555,1.58e-14
ST8SIA6-AS1,ENSG00000204832,1.516116292,0.001628253,3.549315604,0.01123761,2.533,0.001628253
CDCA2,ENSG00000184661,2.510341507,4.57e-20,2.551661524,0.001589777,2.531,4.57e-20
POSTN,ENSG00000133110,2.437964309,4.41e-18,2.624381805,5.65e-8,2.531,4.41e-18
H4C14,ENSG00000270882,3.092099451,1.3e-19,1.953709672,4.39e-5,2.523,1.3e-19
